Recorded_Date DistribChnl DivSch Role BPA Fin FundR HR Others PubSaf SIS UDW Rate_FundR_Confor Rate_FundR_Reliab Rate_FundR_Assur Rate_FundR_Partner Rate_FundR_Respons Rate_UDW_Confor Rate_UDW_Reliab Rate_UDW_Assur Rate_UDW_Partner Rate_UDW_Respons Rate_Fin_Confor Rate_Fin_Reliab Rate_Fin_Assur Rate_Fin_Partner Rate_Fin_Respons Rate_HR_Confor Rate_HR_Reliab Rate_HR_Assur Rate_HR_Partner Rate_HR_Respons Rate_SIS_Confor Rate_SIS_Reliab Rate_SIS_Assur Rate_SIS_Partner Rate_SIS_Respons Rate_Others_Confor Rate_Others_Reliab Rate_Others_Assur Rate_Others_Partner Rate_Others_Respons Rate_PubSaf_Confor Rate_PubSaf_Reliab Rate_PubSaf_Assur Rate_PubSaf_Partner Rate_PubSaf_Respons Rate_BPA_Confor Rate_BPA_Reliab Rate_BPA_Assur Rate_BPA_Partner Rate_BPA_Respons Rate_Satis BPA_Score Fin_Score FundR_Score HR_Score Others_Score PubSaf_Score SIS_Score UDW_Score Satis_Score Confor_Score Reliab_Score Assur_Score Partner_Score Respons_Score Qual_Score
2015-11-16 anonymous Finance Staff/Administrator TRUE TRUE TRUE TRUE NA NA TRUE TRUE 3.0 3.0 3.0 3.0 3.0 4.0 4.0 4.0 4.0 4.0 3.0 2.0 3.0 2.0 2.0 4.0 4.0 4.0 3.0 4.0 4.0 5.0 5.0 5.0 5.0 NA NA NA NA NA NA NA NA NA NA 4.0 3.0 3.0 3.0 3.0 4.0 3.2 2.4 3.0 3.8 NaN NaN 4.8 4.0 4.0 3.7 3.5 3.7 3.3 3.5 3.54
2015-11-16 anonymous "Information Technology" Staff/Administrator NA NA NA TRUE NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.0 4.0 4.0 4.0 4.0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.0 NaN NaN NaN 4.0 NaN NaN NaN NaN 4.0 4.0 4.0 4.0 4.0 4.0 4.0
2015-11-16 anonymous "Information Technology" Staff/Administrator TRUE NA NA TRUE NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5.0 5.0 5.0 5.0 5.0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5.0 5.0 5.0 5.0 5.0 4.0 5.0 NaN NaN 5.0 NaN NaN NaN NaN 4.0 5.0 5.0 5.0 5.0 5.0 5.0
2015-11-16 anonymous Shanghai Staff/Administrator TRUE TRUE NA TRUE NA NA NA TRUE NA NA NA NA NA 5.0 5.0 5.0 5.0 5.0 3.0 3.0 3.0 3.0 3.0 5.0 5.0 4.0 5.0 4.0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5.0 4.0 4.0 5.0 5.0 4.0 4.6 3.0 NaN 4.6 NaN NaN NaN 5.0 4.0 4.5 4.2 4.0 4.5 4.2 4.28
2015-11-16 anonymous "Human Resource" Staff/Administrator NA NA NA TRUE NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2.0 2.0 2.0 3.0 3.0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2.0 NaN NaN NaN 2.4 NaN NaN NaN NaN 2.0 2.0 2.0 2.0 3.0 3.0 2.4
2015-11-16 anonymous Finance Staff/Administrator TRUE TRUE TRUE NA NA NA TRUE TRUE 4.0 4.0 4.0 4.0 4.0 4.0 3.0 4.0 3.0 4.0 3.0 3.0 4.0 3.0 3.0 NA NA NA NA NA 4.0 4.0 4.0 4.0 4.0 NA NA NA NA NA NA NA NA NA NA 3.0 3.0 2.0 2.0 3.0 3.0 2.6 3.2 4.0 NaN NaN NaN 4.0 3.6 3.0 3.6 3.4 3.6 3.2 3.6 3.48
2015-11-16 anonymous "Human Resource" Staff/Administrator NA NA NA TRUE NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.0 3.0 3.0 3.0 3.0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.0 NaN NaN NaN 3.0 NaN NaN NaN NaN 3.0 3.0 3.0 3.0 3.0 3.0 3.0
2015-11-16 anonymous Finance Staff/Administrator TRUE TRUE NA TRUE NA NA TRUE TRUE NA NA NA NA NA 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 3.0 3.0 3.0 3.0 3.0 5.0 5.0 4.0 5.0 4.0 NA NA NA NA NA NA NA NA NA NA 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 NaN 3.0 NaN NaN 4.6 4.0 4.0 4.0 4.0 3.8 4.0 3.8 3.92
2015-11-13 anonymous "Student Services" Staff/Administrator TRUE NA NA TRUE NA NA TRUE TRUE NA NA NA NA NA 2.0 3.0 3.0 2.0 2.0 NA NA NA NA NA 3.0 3.0 3.0 3.0 3.0 3.0 2.0 2.0 3.0 3.0 NA NA NA NA NA NA NA NA NA NA 2.0 2.0 3.0 2.0 2.0 2.0 2.2 NaN NaN 3.0 NaN NaN 2.6 2.4 2.0 2.5 2.5 2.8 2.5 2.5 2.56
2015-11-13 anonymous Finance Staff/Administrator TRUE TRUE NA NA NA NA NA TRUE NA NA NA NA NA 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.0 3.0 4.0 4.0 4.0 4.0 3.8 4.0 NaN NaN NaN NaN NaN 4.0 4.0 4.0 3.7 4.0 4.0 4.0 3.94
2015-11-13 anonymous School Staff/Administrator TRUE NA NA TRUE NA TRUE NA TRUE NA NA NA NA NA 2.0 4.0 3.0 3.0 3.0 NA NA NA NA NA 2.0 3.0 4.0 4.0 4.0 NA NA NA NA NA NA NA NA NA NA 4.0 4.0 3.0 3.0 3.0 2.0 3.0 4.0 4.0 4.0 3.0 3.4 NaN NaN 3.4 NaN 3.4 NaN 3.0 3.0 2.5 3.5 3.5 3.5 3.5 3.3
2015-11-12 anonymous "Budget & Planning" Staff/Administrator NA NA NA NA NA NA NA TRUE NA NA NA NA NA 5.0 5.0 5.0 5.0 5.0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5.0 NaN NaN NaN NaN NaN NaN NaN 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0
2015-11-12 anonymous UDAR Staff/Administrator TRUE NA NA NA NA NA NA TRUE NA NA NA NA NA 3.0 3.0 3.0 3.0 3.0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.0 1.0 1.0 1.0 1.0 4.0 1.0 NaN NaN NaN NaN NaN NaN 3.0 4.0 2.0 2.0 2.0 2.0 2.0 2.0
2015-11-12 anonymous Finance Staff/Administrator TRUE TRUE NA TRUE NA NA NA TRUE NA NA NA NA NA 1.0 1.0 3.0 3.0 3.0 2.0 2.0 3.0 3.0 3.0 4.0 4.0 3.0 3.0 3.0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.0 1.0 2.0 2.0 2.0 1.0 1.6 2.6 NaN 3.4 NaN NaN NaN 2.2 1.0 2.0 2.0 2.8 2.8 2.8 2.48
2015-11-12 anonymous Others Staff/Administrator NA NA NA NA NA TRUE NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.0 3.0 3.0 3.0 3.0 NA NA NA NA NA 3.0 NaN NaN NaN NaN NaN 3.0 NaN NaN 3.0 3.0 3.0 3.0 3.0 3.0 3.0
2015-11-11 anonymous Finance Staff/Administrator NA TRUE NA TRUE NA NA NA TRUE NA NA NA NA NA 4.0 4.0 4.0 4.0 4.0 4.0 2.0 4.0 2.0 2.0 4.0 4.0 3.0 4.0 4.0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.0 NaN 2.8 NaN 3.8 NaN NaN NaN 4.0 3.0 4.0 3.3 3.7 3.3 3.3 3.52
2015-11-10 anonymous School Staff/Administrator TRUE NA NA TRUE NA NA TRUE TRUE NA NA NA NA NA 1.0 2.0 2.0 2.0 3.0 NA NA NA NA NA 2.0 4.0 2.0 2.0 4.0 4.0 5.0 5.0 5.0 5.0 NA NA NA NA NA NA NA NA NA NA 3.0 3.0 3.0 3.0 3.0 4.0 3.0 NaN NaN 2.8 NaN NaN 4.8 2.0 4.0 2.5 3.5 3.0 3.0 3.8 3.16
2015-11-10 anonymous "Project Services Office (PSO)" Staff/Administrator NA NA NA TRUE NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.0 4.0 4.0 4.0 4.0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.0 NaN NaN NaN 4.0 NaN NaN NaN NaN 4.0 4.0 4.0 4.0 4.0 4.0 4.0
2015-11-10 anonymous "Student Services" Staff/Administrator TRUE NA NA TRUE NA NA TRUE NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 NA NA NA NA NA NA NA NA NA NA 4.0 4.0 4.0 4.0 4.0 4.0 4.0 NaN NaN 4.0 NaN NaN 4.0 NaN 4.0 4.0 4.0 4.0 4.0 4.0 4.0
2015-11-10 anonymous School Staff/Administrator TRUE NA NA TRUE TRUE NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.0 3.0 3.0 3.0 3.0 NA NA NA NA NA 4.0 4.0 4.0 2.0 2.0 NA NA NA NA NA 2.0 2.0 2.0 3.0 3.0 2.0 2.4 NaN NaN 3.0 3.2 NaN NaN NaN 2.0 3.0 3.0 3.0 2.7 2.7 2.88
2015-11-10 anonymous "Public Safety" Staff/Administrator TRUE NA NA TRUE NA TRUE NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.0 4.0 4.0 4.0 5.0 NA NA NA NA NA NA NA NA NA NA 4.0 3.0 4.0 5.0 5.0 3.0 4.0 4.0 4.0 5.0 5.0 4.0 NaN NaN 4.2 NaN 4.2 NaN NaN 5.0 3.7 3.7 4.0 4.3 5.0 4.14
2015-11-10 anonymous "Public Safety" Staff/Administrator TRUE NA NA TRUE TRUE TRUE NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.0 4.0 4.0 4.0 4.0 NA NA NA NA NA 2.0 2.0 2.0 2.0 2.0 3.0 4.0 3.0 3.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 NaN NaN 4.0 2.0 3.4 NaN NaN 4.0 3.2 3.5 3.2 3.2 3.5 3.3200000000000003
2015-11-10 anonymous "Student Services" Staff/Administrator TRUE NA NA NA NA NA TRUE TRUE NA NA NA NA NA 4.0 4.0 4.0 4.0 4.0 NA NA NA NA NA NA NA NA NA NA 5.0 5.0 5.0 5.0 5.0 NA NA NA NA NA NA NA NA NA NA 4.0 4.0 4.0 4.0 4.0 4.0 4.0 NaN NaN NaN NaN NaN 5.0 4.0 4.0 4.3 4.3 4.3 4.3 4.3 4.3
2015-11-09 anonymous UDAR Staff/Administrator TRUE NA TRUE NA NA NA NA TRUE 5.0 5.0 5.0 5.0 5.0 3.0 3.0 3.0 3.0 3.0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5.0 5.0 5.0 5.0 5.0 5.0 5.0 NaN 5.0 NaN NaN NaN NaN 3.0 5.0 4.3 4.3 4.3 4.3 4.3 4.3
2015-11-09 anonymous "Student Services" Staff/Administrator TRUE NA NA TRUE TRUE NA TRUE TRUE NA NA NA NA NA 3.0 3.0 3.0 3.0 3.0 NA NA NA NA NA 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 2.0 3.0 3.0 3.0 3.0 3.0 3.0 NA NA NA NA NA 3.0 3.0 3.0 3.0 3.0 3.0 3.0 NaN NaN 3.0 3.0 NaN 2.8 3.0 3.0 3.0 3.0 3.0 2.8 3.0 2.96
2015-11-09 anonymous "Budget & Planning" Staff/Administrator TRUE TRUE NA TRUE NA NA NA TRUE NA NA NA NA NA 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.0 2.0 4.0 4.0 4.0 3.0 3.6 4.0 NaN 4.0 NaN NaN NaN 4.0 3.0 4.0 3.5 4.0 4.0 4.0 3.9
2015-11-09 anonymous "Human Resource" Staff/Administrator NA NA NA TRUE NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.0 3.0 4.0 3.0 3.0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.0 NaN NaN NaN 3.4 NaN NaN NaN NaN 3.0 4.0 3.0 4.0 3.0 3.0 3.4
2015-11-09 anonymous Abu-Dhabi Staff/Administrator TRUE TRUE NA TRUE NA TRUE TRUE TRUE NA NA NA NA NA 2.0 4.0 2.0 2.0 2.0 4.0 4.0 4.0 4.0 2.0 5.0 5.0 5.0 5.0 5.0 3.0 3.0 3.0 3.0 3.0 NA NA NA NA NA 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 3.6 NaN 5.0 NaN 2.0 3.0 2.4 2.0 3.0 3.3 3.0 3.0 2.7 3.0
2015-11-09 anonymous "Project Services Office (PSO)" Staff/Administrator TRUE TRUE NA TRUE NA NA NA TRUE NA NA NA NA NA 4.0 5.0 5.0 5.0 5.0 4.0 4.0 4.0 4.0 4.0 5.0 5.0 5.0 5.0 5.0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.0 4.0 4.0 4.0 4.0 5.0 4.0 4.0 NaN 5.0 NaN NaN NaN 4.8 5.0 4.2 4.5 4.5 4.5 4.5 4.44
2015-11-09 anonymous "Budget & Planning" Staff/Administrator TRUE TRUE NA TRUE NA NA TRUE TRUE NA NA NA NA NA 4.0 3.0 5.0 5.0 5.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 NA NA NA NA NA NA NA NA NA NA 4.0 2.0 4.0 3.0 3.0 4.0 3.2 4.0 NaN 4.0 NaN NaN 4.0 4.4 4.0 4.0 3.4 4.2 4.0 4.0 3.92
2015-11-09 anonymous "Human Resource" Staff/Administrator NA NA NA TRUE NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.0 3.0 3.0 3.0 3.0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.0 NaN NaN NaN 3.0 NaN NaN NaN NaN 3.0 3.0 3.0 3.0 3.0 3.0 3.0
2015-11-09 anonymous "Budget & Planning" Staff/Administrator TRUE NA NA TRUE NA NA NA TRUE NA NA NA NA NA 4.0 4.0 5.0 5.0 5.0 NA NA NA NA NA 4.0 3.0 4.0 5.0 5.0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.0 4.0 4.0 4.0 4.0 4.0 4.0 NaN NaN 4.2 NaN NaN NaN 4.6 4.0 4.0 3.7 4.3 4.7 4.7 4.28
2015-11-09 anonymous Finance Staff/Administrator TRUE TRUE NA TRUE NA TRUE NA TRUE NA NA NA NA NA 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 NA NA NA NA NA NA NA NA NA NA 3.0 3.0 3.0 3.0 3.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 NaN 4.0 NaN 3.0 NaN 4.0 4.0 3.8 3.8 3.8 3.8 3.8 3.8
2015-11-09 anonymous "Project Services Office (PSO)" Staff/Administrator NA NA NA TRUE NA NA NA TRUE NA NA NA NA NA 4.0 4.0 4.0 4.0 4.0 NA NA NA NA NA 4.0 4.0 4.0 4.0 4.0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.0 NaN NaN NaN 4.0 NaN NaN NaN 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0
2015-11-06 anonymous Others Staff/Administrator TRUE TRUE NA TRUE NA NA NA TRUE NA NA NA NA NA 5.0 5.0 5.0 5.0 5.0 4.0 4.0 5.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5.0 5.0 4.0 5.0 4.0 5.0 4.6 4.2 NaN 4.0 NaN NaN NaN 5.0 5.0 4.5 4.5 4.5 4.5 4.2 4.44
2015-11-06 anonymous School Staff/Administrator TRUE NA TRUE NA NA NA NA TRUE 3.0 3.0 3.0 3.0 3.0 4.0 4.0 4.0 4.0 4.0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.0 4.0 4.0 3.0 3.0 4.0 3.6 NaN 3.0 NaN NaN NaN NaN 4.0 4.0 3.7 3.7 3.7 3.3 3.3 3.54
2015-11-06 anonymous Finance Staff/Administrator TRUE TRUE NA NA NA NA NA TRUE NA NA NA NA NA 3.0 3.0 3.0 3.0 3.0 3.0 2.0 3.0 3.0 2.0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.0 2.0 1.0 1.0 2.0 3.0 1.8 2.6 NaN NaN NaN NaN NaN 3.0 3.0 3.0 2.3 2.3 2.3 2.3 2.44
2015-11-05 anonymous School Staff/Administrator TRUE NA NA TRUE NA NA NA TRUE NA NA NA NA NA 4.0 4.0 4.0 3.0 3.0 NA NA NA NA NA 3.0 3.0 2.0 1.0 2.0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.0 4.0 1.0 1.0 2.0 3.0 2.2 NaN NaN 2.2 NaN NaN NaN 3.6 3.0 3.3 3.7 2.3 1.7 2.3 2.66
2015-11-05 anonymous Others Staff/Administrator TRUE TRUE NA TRUE NA TRUE NA TRUE NA NA NA NA NA 2.0 2.0 2.0 2.0 2.0 3.0 4.0 3.0 3.0 2.0 2.0 2.0 2.0 2.0 2.0 NA NA NA NA NA NA NA NA NA NA 3.0 3.0 3.0 3.0 3.0 2.0 3.0 3.0 3.0 3.0 3.0 2.8 3.0 NaN 2.0 NaN 3.0 NaN 2.0 3.0 2.4 2.8 2.6 2.6 2.4 2.56
2015-11-05 anonymous Others Staff/Administrator TRUE TRUE NA TRUE NA TRUE TRUE TRUE NA NA NA NA NA 5.0 4.0 5.0 4.0 5.0 4.0 4.0 4.0 4.0 4.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 NA NA NA NA NA 3.0 3.0 3.0 3.0 3.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 NaN 3.0 NaN 3.0 3.0 4.6 4.0 3.7 3.5 3.7 3.5 3.7 3.62
2015-11-05 anonymous "Information Technology" Staff/Administrator NA NA NA NA NA NA TRUE NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.0 4.0 4.0 3.0 2.0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.0 NaN NaN NaN NaN NaN NaN 3.2 NaN 3.0 3.0 4.0 4.0 3.0 2.0 3.2
2015-11-05 anonymous Others Staff/Administrator NA NA NA NA NA NA TRUE TRUE NA NA NA NA NA 4.0 4.0 4.0 2.0 2.0 NA NA NA NA NA NA NA NA NA NA 2.0 4.0 4.0 2.0 2.0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.0 NaN NaN NaN NaN NaN NaN 2.8 3.2 3.0 3.0 4.0 4.0 2.0 2.0 3.0
2015-11-05 anonymous School Staff/Administrator TRUE TRUE NA TRUE NA TRUE NA TRUE NA NA NA NA NA 3.0 3.0 3.0 4.0 4.0 3.0 3.0 4.0 4.0 4.0 3.0 4.0 3.0 3.0 4.0 NA NA NA NA NA NA NA NA NA NA 5.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 5.0 5.0 4.0 4.4 3.6 NaN 3.4 NaN 4.2 NaN 3.4 4.0 3.6 3.6 3.6 4.0 4.2 3.8000000000000003
2015-11-05 anonymous School Faculty TRUE NA NA TRUE NA NA TRUE NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.0 4.0 4.0 4.0 4.0 5.0 5.0 5.0 5.0 5.0 NA NA NA NA NA NA NA NA NA NA 4.0 4.0 4.0 4.0 4.0 4.0 4.0 NaN NaN 4.0 NaN NaN 5.0 NaN 4.0 4.3 4.3 4.3 4.3 4.3 4.3
2015-11-04 anonymous School Staff/Administrator NA NA NA TRUE NA NA TRUE NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.0 4.0 4.0 4.0 5.0 4.0 4.0 4.0 2.0 5.0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.0 NaN NaN NaN 4.2 NaN NaN 3.8 NaN 4.0 4.0 4.0 4.0 3.0 5.0 4.0
2015-11-04 anonymous Payroll Staff/Administrator TRUE NA NA TRUE NA NA TRUE NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.0 4.0 4.0 4.0 4.0 3.0 4.0 4.0 3.0 4.0 NA NA NA NA NA NA NA NA NA NA 4.0 4.0 4.0 4.0 4.0 4.0 4.0 NaN NaN 4.0 NaN NaN 3.6 NaN 4.0 3.7 4.0 4.0 3.7 4.0 3.88
2015-11-04 anonymous Others Staff/Administrator NA NA NA TRUE NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5.0 5.0 5.0 5.0 5.0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5.0 NaN NaN NaN 5.0 NaN NaN NaN NaN 5.0 5.0 5.0 5.0 5.0 5.0 5.0
2015-11-04 anonymous Payroll Staff/Administrator TRUE NA NA TRUE NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.0 3.0 3.0 2.0 3.0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.0 3.0 3.0 3.0 3.0 2.0 3.0 NaN NaN 2.8 NaN NaN NaN NaN 2.0 3.0 3.0 3.0 2.5 3.0 2.9
