Industry Name,Number of Firms,Beta,ROE,Cost of Equity,(ROE - COE),BV of Equity,Equity EVA,ROC,Cost of Capital,(ROC - WACC),BV of Capital,EVA,E/(D+E),Std Dev in Stock,Cost of Debt,Tax Rate,After-tax Cost of Debt,D/(D+E)
Shipbuilding & Marine,11,1.2,-6.56%,9.29%,-15.85%,"$5,647.63 ",($895.13),4.43%,7.05%,-2.62%,"$7,877.89 ",($206.33),67.38%,73.54%,4.05%,7.30%,2.43%,32.62%
Shoe,10,0.85,24.95%,7.30%,17.65%,"$17,810.32 ","$3,143.37 ",22.14%,6.81%,15.32%,"$20,682.49 ","$3,169.25 ",90.70%,37.21%,3.50%,14.47%,2.10%,9.30%
Software (Entertainment),13,0.98,13.95%,8.03%,5.92%,"$13,654.51 ",$808.75 ,25.89%,7.28%,18.60%,"$9,244.95 ","$1,719.70 ",87.15%,48.14%,3.70%,1.04%,2.22%,12.85%
Software (Internet),297,1.13,9.62%,8.90%,0.72%,"$218,295.42 ","$1,574.40 ",15.00%,8.63%,6.38%,"$244,022.47 ","$15,557.55 ",95.91%,55.85%,3.70%,3.49%,2.22%,4.09%
Software (System & Application),236,1.13,15.00%,8.86%,6.15%,"$196,021.39 ","$12,052.73 ",15.20%,7.68%,7.51%,"$270,035.52 ","$20,291.26 ",82.30%,47.40%,3.70%,5.67%,2.22%,17.70%
Steel,38,1.6,-17.15%,11.55%,-28.71%,"$25,756.68 ","($7,393.67)",1.02%,8.53%,-7.51%,"$45,015.54 ","($3,381.75)",67.60%,54.19%,3.70%,7.94%,2.22%,32.40%
Telecom (Wireless),17,1.12,-3.91%,8.80%,-12.71%,"$47,373.18 ","($6,020.16)",2.44%,5.22%,-2.78%,"$125,293.70 ","($3,479.40)",46.60%,37.67%,3.50%,9.11%,2.10%,53.40%
Telecom. Equipment,107,0.99,14.19%,8.08%,6.12%,"$93,757.26 ","$5,735.24 ",15.53%,6.92%,8.61%,"$125,160.09 ","$10,775.68 ",80.29%,49.24%,3.70%,6.14%,2.22%,19.71%
Telecom. Services,67,1.04,19.89%,8.38%,11.51%,"$166,006.62 ","$19,100.79 ",15.82%,5.93%,9.89%,"$353,757.97 ","$34,980.47 ",60.28%,47.21%,3.70%,13.36%,2.22%,39.72%
Tobacco,22,1.28,-14.86%,9.73%,-24.59%,"$8,840.55 ","($2,173.79)",60.73%,8.63%,52.11%,"$38,343.71 ","$19,979.61 ",85.34%,61.73%,3.70%,8.84%,2.22%,14.66%
Transportation,17,1.01,30.14%,8.22%,21.92%,"$26,394.77 ","$5,786.85 ",23.86%,6.74%,17.13%,"$53,306.92 ","$9,130.21 ",75.77%,32.72%,3.50%,17.46%,2.10%,24.23%
Transportation (Railroads),7,0.79,16.27%,6.92%,9.35%,"$50,681.16 ","$4,737.36 ",12.51%,5.87%,6.64%,"$90,087.66 ","$5,978.60 ",78.16%,27.05%,3.50%,22.17%,2.10%,21.84%
Trucking,30,1.21,15.68%,9.31%,6.37%,"$15,793.14 ","$1,006.71 ",7.84%,5.93%,1.90%,"$56,995.02 ","$1,085.74 ",52.41%,42.01%,3.70%,26.74%,2.22%,47.59%
Utility (General),18,0.38,9.57%,4.59%,4.98%,"$104,486.40 ","$5,205.29 ",6.81%,3.47%,3.34%,"$229,841.10 ","$7,671.40 ",59.39%,19.32%,3.05%,25.62%,1.83%,40.61%
Utility (Water),22,0.65,10.38%,6.14%,4.24%,"$8,944.55 ",$378.98 ,6.10%,4.92%,1.19%,"$18,130.38 ",$215.27 ,69.70%,27.03%,3.50%,11.97%,2.10%,30.30%
Total Market,7330,1,10.38%,8.15%,2.23%,"$8,439,168.25 ","$188,481.80 ",6.10%,5.75%,0.36%,"$21,492,277.23 ","$76,392.87 ",59.56%,45.04%,3.70%,10.44%,2.22%,40.44%
Total Market (without financials),6100,1.08,10.24%,8.59%,1.65%,"$6,302,078.45 ","$104,007.94 ",11.60%,6.92%,4.68%,"$10,842,502.01 ","$507,626.27 ",73.69%,48.81%,3.70%,8.31%,2.22%,26.31%
