Total Breaks	Trade Total	Break rate	Day of week	Logged break rate	Label	Day number
2.350000000e+002	1.911000000e+003	1.229722658e+001	Tuesday	1.089807175e+000		2.000000000e+000
1.920000000e+002	2.238000000e+003	8.579088472e+000	Wednesday	9.334411465e-001		3.000000000e+000
2.340000000e+002	2.932000000e+003	7.980900409e+000	Thursday	9.020518914e-001		4.000000000e+000
2.560000000e+002	3.086000000e+003	8.295528192e+000	Friday	9.188440436e-001		5.000000000e+000
2.450000000e+002	3.017000000e+003	8.120649652e+000	Monday	9.095907742e-001		1.000000000e+000
2.330000000e+002	4.145000000e+003	5.621230398e+000	Tuesday	7.498313861e-001		2.000000000e+000
2.690000000e+002	4.001000000e+003	6.723319170e+000	Wednesday	8.275837286e-001		3.000000000e+000
2.060000000e+002	3.244000000e+003	6.350184957e+000	Thursday	8.027863748e-001		4.000000000e+000
2.470000000e+002	2.839000000e+003	8.700246566e+000	Friday	9.395315607e-001		5.000000000e+000
1.480000000e+002	2.278000000e+003	6.496927129e+000	Monday	8.127079956e-001		1.000000000e+000
1.230000000e+002	1.819000000e+003	6.761957119e+000	Tuesday	8.300724124e-001		2.000000000e+000
2.710000000e+002	2.626000000e+003	1.031987814e+001	Wednesday	1.013674569e+000		3.000000000e+000
2.160000000e+002	2.687000000e+003	8.038704875e+000	Thursday	9.051860847e-001		4.000000000e+000
2.440000000e+002	2.887000000e+003	8.451679945e+000	Friday	9.269430425e-001		5.000000000e+000
1.920000000e+002	2.486000000e+003	7.723250201e+000	Monday	8.878001044e-001		1.000000000e+000
1.720000000e+002	2.517000000e+003	6.833531983e+000	Tuesday	8.346452314e-001		2.000000000e+000
2.010000000e+002	3.112000000e+003	6.458868895e+000	Wednesday	8.101564691e-001		3.000000000e+000
1.760000000e+002	2.530000000e+003	6.956521739e+000	Thursday	8.423921466e-001		4.000000000e+000
2.220000000e+002	2.152000000e+003	1.031598513e+001	Friday	1.013510707e+000		5.000000000e+000
2.430000000e+002	2.717000000e+003	8.943687891e+000	Monday	9.515166352e-001		1.000000000e+000
1.930000000e+002	2.066000000e+003	9.341723136e+000	Tuesday	9.704269918e-001		2.000000000e+000
1.960000000e+002	3.616000000e+003	5.420353982e+000	Wednesday	7.340276495e-001		3.000000000e+000
1.640000000e+002	2.446000000e+003	6.704824203e+000	Thursday	8.263873954e-001		4.000000000e+000
1.320000000e+002	2.464000000e+003	5.357142857e+000	Friday	7.289332277e-001		5.000000000e+000
1.970000000e+002	2.499000000e+003	7.883153261e+000	Monday	8.966999700e-001		1.000000000e+000
1.890000000e+002	2.546000000e+003	7.423409269e+000	Tuesday	8.706034048e-001		2.000000000e+000
1.220000000e+002	2.379000000e+003	5.128205128e+000	Wednesday	7.099653886e-001		3.000000000e+000
2.410000000e+002	3.223000000e+003	7.477505430e+000	Thursday	8.737567371e-001		4.000000000e+000
1.860000000e+002	3.161000000e+003	5.884213856e+000	Friday	7.696884484e-001		5.000000000e+000
2.380000000e+002	2.379000000e+003	1.000420345e+001	Monday	1.000182515e+000		1.000000000e+000
1.800000000e+002	3.220000000e+003	5.590062112e+000	Tuesday	7.474166334e-001		2.000000000e+000
2.490000000e+002	4.594000000e+003	5.420113191e+000	Wednesday	7.340083562e-001		3.000000000e+000
2.270000000e+002	3.513000000e+003	6.461713635e+000	Thursday	8.103477074e-001		4.000000000e+000
2.580000000e+002	3.667000000e+003	7.035724025e+000	Friday	8.473087960e-001		5.000000000e+000
2.350000000e+002	2.368000000e+003	9.923986486e+000	Monday	9.966861642e-001		1.000000000e+000
1.610000000e+002	1.823000000e+003	8.831596270e+000	Tuesday	9.460392074e-001		2.000000000e+000
1.570000000e+002	1.590000000e+003	9.874213836e+000	Wednesday	9.945025281e-001		3.000000000e+000
2.570000000e+002	1.659000000e+003	1.549125980e+001	Thursday	1.190086737e+000		4.000000000e+000
2.190000000e+002	3.221000000e+003	6.799130705e+000	Friday	8.324533900e-001		5.000000000e+000
2.090000000e+002	2.560000000e+003	8.164062500e+000	Monday	9.119063208e-001		1.000000000e+000
1.630000000e+002	2.453000000e+003	6.644924582e+000	Tuesday	8.224900562e-001		2.000000000e+000
1.910000000e+002	2.950000000e+003	6.474576271e+000	Wednesday	8.112113513e-001		3.000000000e+000
1.760000000e+002	2.466000000e+003	7.137064071e+000	Thursday	8.535195955e-001		4.000000000e+000
2.180000000e+002	2.645000000e+003	8.241965974e+000	Friday	9.160308173e-001		5.000000000e+000
1.580000000e+002	2.543000000e+003	6.213134094e+000	Monday	7.933107268e-001		1.000000000e+000
1.390000000e+002	2.168000000e+003	6.411439114e+000	Tuesday	8.069555224e-001		2.000000000e+000
1.930000000e+002	2.288000000e+003	8.435314685e+000	Wednesday	9.261012889e-001		3.000000000e+000
2.050000000e+002	3.781000000e+003	5.421846072e+000	Thursday	7.341471837e-001		4.000000000e+000
1.960000000e+002	2.871000000e+003	6.826889586e+000	Friday	8.342228789e-001		5.000000000e+000
2.970000000e+002	3.475000000e+003	8.546762590e+000	Monday	9.318016404e-001		1.000000000e+000
1.760000000e+002	4.316000000e+003	4.077849861e+000	Tuesday	6.104312318e-001		2.000000000e+000
2.240000000e+002	4.263000000e+003	5.254515599e+000	Wednesday	7.205326857e-001		3.000000000e+000
2.340000000e+002	2.940000000e+003	7.959183673e+000	Friday	9.008685270e-001		5.000000000e+000
7.900000000e+001	1.115000000e+003	7.085201794e+000	Monday	8.503522239e-001		1.000000000e+000
2.070000000e+002	2.974000000e+003	6.960322798e+000	Tuesday	8.426293813e-001		2.000000000e+000
1.980000000e+002	3.225000000e+003	6.139534884e+000	Wednesday	7.881354713e-001		3.000000000e+000
1.860000000e+002	2.754000000e+003	6.753812636e+000	Thursday	8.295490083e-001		4.000000000e+000
2.750000000e+002	3.470000000e+003	7.925072046e+000	Friday	8.990032190e-001		5.000000000e+000
2.920000000e+002	3.138000000e+003	9.305289994e+000	Monday	9.687299122e-001		1.000000000e+000
1.860000000e+002	2.897000000e+003	6.420434933e+000	Tuesday	8.075644490e-001		2.000000000e+000
1.870000000e+002	3.624000000e+003	5.160044150e+000	Wednesday	7.126534175e-001		3.000000000e+000
2.710000000e+002	2.680000000e+003	1.011194030e+001	Thursday	1.004834497e+000		4.000000000e+000
2.890000000e+002	2.902000000e+003	9.958649207e+000	Friday	9.982004346e-001		5.000000000e+000
2.450000000e+002	2.188000000e+003	1.119744059e+001	Monday	1.049118767e+000		1.000000000e+000
1.570000000e+002	2.651000000e+003	5.922293474e+000	Tuesday	7.724899247e-001		2.000000000e+000
1.770000000e+002	2.844000000e+003	6.223628692e+000	Wednesday	7.940436743e-001		3.000000000e+000
1.720000000e+002	2.340000000e+003	7.350427350e+000	Thursday	8.663125895e-001		4.000000000e+000
4.050000000e+002	1.897000000e+003	2.134949921e+001	Friday	1.329387692e+000		5.000000000e+000
3.500000000e+002	3.272000000e+003	1.069682152e+001	Monday	1.029254750e+000		1.000000000e+000
3.170000000e+002	3.507000000e+003	9.039064728e+000	Tuesday	9.561234964e-001		2.000000000e+000
2.440000000e+002	3.399000000e+003	7.178581936e+000	Wednesday	8.560386618e-001		3.000000000e+000
3.140000000e+002	3.535000000e+003	8.882602546e+000	Thursday	9.485402299e-001		4.000000000e+000
1.880000000e+002	2.733000000e+003	6.878887669e+000	Friday	8.375182176e-001		5.000000000e+000
1.800000000e+002	2.187000000e+003	8.230452675e+000	Tuesday	9.154237221e-001		2.000000000e+000
1.430000000e+002	1.450000000e+003	9.862068966e+000	Wednesday	9.939680353e-001		3.000000000e+000
1.660000000e+002	1.429000000e+003	1.161651505e+001	Thursday	1.065075859e+000		4.000000000e+000
1.650000000e+002	2.828000000e+003	5.834512023e+000	Friday	7.660045391e-001		5.000000000e+000
1.960000000e+002	2.860000000e+003	6.853146853e+000	Tuesday	8.358900382e-001		2.000000000e+000
2.250000000e+002	3.179000000e+003	7.077697389e+000	Wednesday	8.498919902e-001		3.000000000e+000
4.080000000e+002	3.763000000e+003	1.084241297e+001	Thursday	1.035125945e+000		4.000000000e+000
2.520000000e+002	3.910000000e+003	6.445012788e+000	Friday	8.092237834e-001		5.000000000e+000
2.360000000e+002	3.057000000e+003	7.719986915e+000	Monday	8.876165642e-001		1.000000000e+000
1.540000000e+002	1.465000000e+003	1.051194539e+001	Tuesday	1.021683096e+000		2.000000000e+000
3.060000000e+002	2.869000000e+003	1.066573719e+001	Wednesday	1.027990878e+000		3.000000000e+000
2.800000000e+002	4.672000000e+003	5.993150685e+000	Thursday	7.776551972e-001		4.000000000e+000
2.530000000e+002	3.635000000e+003	6.960110041e+000	Friday	8.426161060e-001		5.000000000e+000
2.160000000e+002	4.154000000e+003	5.199807415e+000	Monday	7.159872590e-001		1.000000000e+000
1.500000000e+002	2.155000000e+003	6.960556845e+000	Tuesday	8.426439846e-001		2.000000000e+000
2.000000000e+002	2.844000000e+003	7.032348805e+000	Wednesday	8.471004036e-001		3.000000000e+000
2.080000000e+002	3.127000000e+003	6.651742885e+000	Thursday	8.229354537e-001		4.000000000e+000
2.120000000e+002	3.166000000e+003	6.696146557e+000	Friday	8.258249504e-001		5.000000000e+000
2.400000000e+002	3.161000000e+003	7.592534008e+000	Monday	8.803867459e-001		1.000000000e+000
2.370000000e+002	4.193000000e+003	5.652277606e+000	Tuesday	7.522234836e-001		2.000000000e+000
1.840000000e+002	3.563000000e+003	5.164187482e+000	Wednesday	7.130020006e-001		3.000000000e+000
1.820000000e+002	2.877000000e+003	6.326034063e+000	Thursday	8.011315261e-001		4.000000000e+000
1.900000000e+002	2.948000000e+003	6.445047490e+000	Friday	8.092261218e-001		5.000000000e+000
1.820000000e+002	2.683000000e+003	6.783451360e+000	Monday	8.314507153e-001		1.000000000e+000
2.010000000e+002	3.536000000e+003	5.684389140e+000	Tuesday	7.546838011e-001		2.000000000e+000
1.850000000e+002	3.913000000e+003	4.727830309e+000	Wednesday	6.746618805e-001		3.000000000e+000
2.780000000e+002	4.042000000e+003	6.877783276e+000	Thursday	8.374484868e-001		4.000000000e+000
2.540000000e+002	3.496000000e+003	7.265446224e+000	Friday	8.612622926e-001		5.000000000e+000
2.590000000e+002	3.474000000e+003	7.455382844e+000	Monday	8.724699500e-001		1.000000000e+000
1.830000000e+002	3.564000000e+003	5.134680135e+000	Tuesday	7.105133944e-001		2.000000000e+000
2.100000000e+002	3.811000000e+003	5.510364734e+000	Wednesday	7.411803460e-001		3.000000000e+000
2.700000000e+002	3.636000000e+003	7.425742574e+000	Thursday	8.707398896e-001		4.000000000e+000
2.020000000e+002	3.061000000e+003	6.599150604e+000	Friday	8.194880398e-001		5.000000000e+000
2.290000000e+002	3.884000000e+003	5.895983522e+000	Monday	7.705562611e-001		1.000000000e+000
2.390000000e+002	3.620000000e+003	6.602209945e+000	Tuesday	8.196893304e-001		2.000000000e+000
2.360000000e+002	3.324000000e+003	7.099879663e+000	Wednesday	8.512509879e-001		3.000000000e+000
3.090000000e+002	3.288000000e+003	9.397810219e+000	Thursday	9.730266706e-001		4.000000000e+000
2.370000000e+002	3.871000000e+003	6.122448980e+000	Friday	7.869251747e-001		5.000000000e+000
2.110000000e+002	3.476000000e+003	6.070195627e+000	Tuesday	7.832026875e-001		2.000000000e+000
2.180000000e+002	4.515000000e+003	4.828349945e+000	Wednesday	6.837987390e-001		3.000000000e+000
2.010000000e+002	3.687000000e+003	5.451586656e+000	Thursday	7.365229198e-001		4.000000000e+000
1.680000000e+002	4.009000000e+003	4.190571215e+000	Friday	6.222732255e-001		5.000000000e+000
2.700000000e+002	3.080000000e+003	8.766233766e+000	Monday	9.428130476e-001		1.000000000e+000
1.940000000e+002	3.159000000e+003	6.141183919e+000	Tuesday	7.882521040e-001		2.000000000e+000
1.530000000e+002	2.667000000e+003	5.736782902e+000	Wednesday	7.586684151e-001		3.000000000e+000
2.930000000e+002	4.116000000e+003	7.118561710e+000	Thursday	8.523922542e-001		4.000000000e+000
1.990000000e+002	3.364000000e+003	5.915576694e+000	Friday	7.719970893e-001		5.000000000e+000
2.620000000e+002	3.023000000e+003	8.666887198e+000	Monday	9.378631441e-001		1.000000000e+000
2.660000000e+002	3.097000000e+003	8.588957055e+000	Tuesday	9.339404313e-001		2.000000000e+000
1.600000000e+002	2.741000000e+003	5.837285662e+000	Wednesday	7.662109471e-001		3.000000000e+000
1.740000000e+002	2.831000000e+003	6.146238078e+000	Thursday	7.886093789e-001		4.000000000e+000
2.210000000e+002	2.170000000e+003	1.018433180e+001	Friday	1.007932540e+000		5.000000000e+000
1.298000000e+003	4.555000000e+003	2.849615807e+001	Monday	1.454786311e+000		1.000000000e+000
2.490000000e+002	3.564000000e+003	6.986531987e+000	Tuesday	8.442616518e-001		2.000000000e+000
2.170000000e+002	3.304000000e+003	6.567796610e+000	Wednesday	8.174196952e-001		3.000000000e+000
1.800000000e+002	2.333000000e+003	7.715387913e+000	Thursday	8.873577663e-001		4.000000000e+000
1.950000000e+002	3.088000000e+003	6.314766839e+000	Friday	8.003573197e-001		5.000000000e+000
1.870000000e+002	2.534000000e+003	7.379636938e+000	Monday	8.680349960e-001		1.000000000e+000
1.860000000e+002	3.965000000e+003	4.691046658e+000	Tuesday	6.712697525e-001		2.000000000e+000
2.150000000e+002	3.231000000e+003	6.654286599e+000	Wednesday	8.231015019e-001		3.000000000e+000
1.920000000e+002	2.824000000e+003	6.798866856e+000	Thursday	8.324365364e-001		4.000000000e+000
1.640000000e+002	3.059000000e+003	5.361229160e+000	Friday	7.292643711e-001		5.000000000e+000
1.910000000e+002	2.702000000e+003	7.068837898e+000	Monday	8.493480226e-001		1.000000000e+000
1.400000000e+002	2.366000000e+003	5.917159763e+000	Tuesday	7.721132954e-001		2.000000000e+000
1.640000000e+002	3.050000000e+003	5.377049180e+000	Wednesday	7.305440087e-001		3.000000000e+000
1.430000000e+002	2.788000000e+003	5.129124821e+000	Thursday	7.100432681e-001		4.000000000e+000
1.480000000e+002	2.685000000e+003	5.512104283e+000	Friday	7.413174254e-001		5.000000000e+000
2.350000000e+002	3.371000000e+003	6.971225156e+000	Monday	8.433091098e-001		1.000000000e+000
2.390000000e+002	3.380000000e+003	7.071005917e+000	Tuesday	8.494812007e-001		2.000000000e+000
2.370000000e+002	2.796000000e+003	8.476394850e+000	Wednesday	9.282111789e-001		3.000000000e+000
1.870000000e+002	2.740000000e+003	6.824817518e+000	Thursday	8.340910437e-001		4.000000000e+000
1.850000000e+002	2.132000000e+003	8.677298311e+000	Monday	9.383845280e-001		1.000000000e+000
1.620000000e+002	1.057000000e+003	1.532639546e+001	Tuesday	1.185440027e+000		2.000000000e+000
2.490000000e+002	2.642000000e+003	9.424678274e+000	Wednesday	9.742665338e-001		3.000000000e+000
4.840000000e+002	4.085000000e+003	1.184822521e+001	Thursday	1.073653301e+000		4.000000000e+000
2.320000000e+002	4.219000000e+003	5.498933397e+000	Friday	7.402784595e-001		5.000000000e+000
2.500000000e+002	5.182000000e+003	4.824392127e+000	Monday	6.834426001e-001		1.000000000e+000
2.120000000e+002	2.868000000e+003	7.391910739e+000	Tuesday	8.687567139e-001		2.000000000e+000
2.030000000e+002	2.672000000e+003	7.597305389e+000	Wednesday	8.806595841e-001		3.000000000e+000
2.000000000e+002	3.362000000e+003	5.948839976e+000	Thursday	7.744322865e-001		4.000000000e+000
2.450000000e+002	3.080000000e+003	7.954545455e+000	Friday	9.006153679e-001		5.000000000e+000
1.940000000e+002	2.572000000e+003	7.542768274e+000	Monday	8.775307657e-001		1.000000000e+000
2.040000000e+002	3.901000000e+003	5.229428352e+000	Tuesday	7.184542171e-001		2.000000000e+000
1.600000000e+002	3.452000000e+003	4.634994206e+000	Wednesday	6.660491956e-001		3.000000000e+000
2.160000000e+002	2.762000000e+003	7.820419986e+000	Thursday	8.932300769e-001		4.000000000e+000
2.560000000e+002	3.106000000e+003	8.242112041e+000	Friday	9.160385139e-001		5.000000000e+000
1.960000000e+002	2.657000000e+003	7.376740685e+000	Monday	8.678645169e-001		1.000000000e+000
1.660000000e+002	2.453000000e+003	6.767223808e+000	Tuesday	8.304105399e-001		2.000000000e+000
2.450000000e+002	2.954000000e+003	8.293838863e+000	Wednesday	9.187555934e-001		3.000000000e+000
2.210000000e+002	1.748000000e+003	1.264302059e+001	Thursday	1.101850845e+000		4.000000000e+000
2.120000000e+002	3.141000000e+003	6.749442853e+000	Friday	8.292679246e-001		5.000000000e+000
2.150000000e+002	2.937000000e+003	7.320394961e+000	Monday	8.645345134e-001		1.000000000e+000
1.840000000e+002	2.917000000e+003	6.307850531e+000	Tuesday	7.998813939e-001		2.000000000e+000
1.830000000e+002	2.974000000e+003	6.153328850e+000	Wednesday	7.891101255e-001		3.000000000e+000
1.910000000e+002	4.556000000e+003	4.192273924e+000	Thursday	6.224496518e-001		4.000000000e+000
1.980000000e+002	3.158000000e+003	6.269791007e+000	Friday	7.972530646e-001		5.000000000e+000
2.580000000e+002	3.728000000e+003	6.920600858e+000	Monday	8.401438023e-001		1.000000000e+000
2.100000000e+002	3.139000000e+003	6.690028672e+000	Tuesday	8.254279791e-001		2.000000000e+000
1.570000000e+002	3.325000000e+003	4.721804511e+000	Wednesday	6.741080027e-001		3.000000000e+000
2.180000000e+002	3.475000000e+003	6.273381295e+000	Thursday	7.975016847e-001		4.000000000e+000
2.280000000e+002	3.110000000e+003	7.331189711e+000	Friday	8.651744580e-001		5.000000000e+000
1.430000000e+002	2.158000000e+003	6.626506024e+000	Monday	8.212845971e-001		1.000000000e+000
1.620000000e+002	3.567000000e+003	4.541631623e+000	Tuesday	6.572119052e-001		2.000000000e+000
2.190000000e+002	3.415000000e+003	6.412884334e+000	Wednesday	8.070534068e-001		3.000000000e+000
1.970000000e+002	4.194000000e+003	4.697186457e+000	Thursday	6.718378000e-001		4.000000000e+000
2.120000000e+002	3.741000000e+003	5.666933975e+000	Friday	7.533481527e-001		5.000000000e+000
2.410000000e+002	5.383000000e+003	4.477057403e+000	Tuesday	6.509926628e-001		2.000000000e+000
1.880000000e+002	2.665000000e+003	7.054409006e+000	Wednesday	8.484606359e-001		3.000000000e+000
1.510000000e+002	2.565000000e+003	5.886939571e+000	Thursday	7.698895778e-001		4.000000000e+000
1.160000000e+002	2.706000000e+003	4.286770140e+000	Friday	6.321301969e-001		5.000000000e+000
