Length of Service	CAP	PA normalized	Minority	Laid off
3.320000000e+000	3.000000000e+001	3.330000000e+000	1.000000000e+000	0.000000000e+000
1.028000000e+001	1.900000000e+001	1.223000000e+001	0.000000000e+000	0.000000000e+000
5.100000000e+000	2.100000000e+001	1.221000000e+001	1.000000000e+000	0.000000000e+000
1.820000000e+000	3.100000000e+001	3.330000000e+000	1.000000000e+000	0.000000000e+000
3.170000000e+000	2.500000000e+001	9.990000000e+000	1.000000000e+000	0.000000000e+000
2.318000000e+001	1.000000000e+001	1.890000000e+001	1.000000000e+000	0.000000000e+000
7.820000000e+000	1.900000000e+001	1.668000000e+001	0.000000000e+000	0.000000000e+000
8.230000000e+000	2.000000000e+001	1.556000000e+001	1.000000000e+000	0.000000000e+000
8.810000000e+000	1.900000000e+001	1.668000000e+001	1.000000000e+000	0.000000000e+000
8.050000000e+000	1.800000000e+001	1.890000000e+001	1.000000000e+000	0.000000000e+000
2.153000000e+001	1.300000000e+001	2.001000000e+001	0.000000000e+000	0.000000000e+000
2.301000000e+001	1.300000000e+001	2.001000000e+001	1.000000000e+000	0.000000000e+000
6.670000000e+000	8.000000000e+000	2.001000000e+001	0.000000000e+000	0.000000000e+000
7.430000000e+000	2.000000000e+001	1.890000000e+001	1.000000000e+000	0.000000000e+000
7.100000000e+000	2.100000000e+001	1.890000000e+001	0.000000000e+000	0.000000000e+000
7.060000000e+000	2.400000000e+001	1.668000000e+001	1.000000000e+000	0.000000000e+000
3.400000000e+000	3.200000000e+001	9.990000000e+000	1.000000000e+000	0.000000000e+000
2.932000000e+001	1.600000000e+001	1.779000000e+001	0.000000000e+000	0.000000000e+000
1.060000000e+000	4.000000000e+001	3.330000000e+000	0.000000000e+000	0.000000000e+000
4.870000000e+000	3.000000000e+001	1.221000000e+001	0.000000000e+000	0.000000000e+000
7.330000000e+000	2.700000000e+001	1.445000000e+001	0.000000000e+000	0.000000000e+000
3.170000000e+000	3.300000000e+001	9.990000000e+000	1.000000000e+000	0.000000000e+000
6.820000000e+000	2.400000000e+001	1.779000000e+001	0.000000000e+000	0.000000000e+000
4.530000000e+000	3.000000000e+001	1.333000000e+001	1.000000000e+000	0.000000000e+000
6.490000000e+000	2.400000000e+001	1.890000000e+001	1.000000000e+000	0.000000000e+000
1.737000000e+001	1.600000000e+001	2.334000000e+001	0.000000000e+000	0.000000000e+000
9.730000000e+000	2.200000000e+001	2.001000000e+001	1.000000000e+000	0.000000000e+000
7.190000000e+000	2.400000000e+001	1.890000000e+001	1.000000000e+000	0.000000000e+000
3.750000000e+000	3.200000000e+001	1.221000000e+001	1.000000000e+000	0.000000000e+000
1.350000000e+001	2.100000000e+001	2.001000000e+001	0.000000000e+000	0.000000000e+000
7.520000000e+000	2.700000000e+001	1.668000000e+001	1.000000000e+000	0.000000000e+000
2.083000000e+001	1.300000000e+001	2.667000000e+001	1.000000000e+000	0.000000000e+000
8.500000000e+000	2.500000000e+001	1.890000000e+001	0.000000000e+000	0.000000000e+000
2.271000000e+001	1.600000000e+001	2.334000000e+001	0.000000000e+000	0.000000000e+000
7.210000000e+000	2.900000000e+001	1.556000000e+001	1.000000000e+000	0.000000000e+000
3.110000000e+000	3.600000000e+001	9.990000000e+000	1.000000000e+000	0.000000000e+000
1.041000000e+001	2.800000000e+001	1.556000000e+001	1.000000000e+000	0.000000000e+000
4.289000000e+001	1.300000000e+001	2.001000000e+001	0.000000000e+000	0.000000000e+000
6.960000000e+000	2.500000000e+001	2.001000000e+001	1.000000000e+000	0.000000000e+000
1.128000000e+001	2.500000000e+001	1.890000000e+001	0.000000000e+000	0.000000000e+000
8.190000000e+000	2.500000000e+001	2.001000000e+001	0.000000000e+000	0.000000000e+000
4.750000000e+000	3.300000000e+001	1.333000000e+001	0.000000000e+000	0.000000000e+000
1.820000000e+000	4.300000000e+001	4.440000000e+000	0.000000000e+000	0.000000000e+000
1.840000000e+000	4.300000000e+001	4.440000000e+000	0.000000000e+000	0.000000000e+000
6.840000000e+000	2.700000000e+001	1.890000000e+001	1.000000000e+000	0.000000000e+000
7.690000000e+000	2.700000000e+001	1.890000000e+001	1.000000000e+000	0.000000000e+000
2.306000000e+001	2.300000000e+001	1.779000000e+001	0.000000000e+000	0.000000000e+000
1.274000000e+001	2.100000000e+001	2.001000000e+001	0.000000000e+000	0.000000000e+000
1.820000000e+000	4.500000000e+001	3.330000000e+000	0.000000000e+000	0.000000000e+000
8.500000000e+000	2.800000000e+001	1.890000000e+001	1.000000000e+000	0.000000000e+000
3.940000000e+000	3.200000000e+001	1.667000000e+001	0.000000000e+000	0.000000000e+000
1.780000000e+000	4.500000000e+001	4.440000000e+000	0.000000000e+000	0.000000000e+000
7.040000000e+000	3.300000000e+001	1.556000000e+001	1.000000000e+000	0.000000000e+000
1.376000000e+001	2.300000000e+001	2.334000000e+001	1.000000000e+000	0.000000000e+000
1.383000000e+001	2.300000000e+001	2.334000000e+001	0.000000000e+000	0.000000000e+000
6.710000000e+000	3.100000000e+001	1.779000000e+001	0.000000000e+000	0.000000000e+000
7.330000000e+000	3.000000000e+001	1.890000000e+001	0.000000000e+000	0.000000000e+000
2.202000000e+001	2.400000000e+001	2.556000000e+001	1.000000000e+000	0.000000000e+000
6.860000000e+000	3.400000000e+001	1.556000000e+001	1.000000000e+000	0.000000000e+000
7.760000000e+000	3.600000000e+001	1.333000000e+001	1.000000000e+000	0.000000000e+000
1.376000000e+001	3.300000000e+001	1.444000000e+001	1.000000000e+000	0.000000000e+000
1.126000000e+001	3.000000000e+001	1.890000000e+001	0.000000000e+000	0.000000000e+000
1.306000000e+001	2.500000000e+001	2.334000000e+001	0.000000000e+000	0.000000000e+000
3.607000000e+001	2.100000000e+001	2.001000000e+001	0.000000000e+000	0.000000000e+000
1.112000000e+001	2.600000000e+001	2.334000000e+001	1.000000000e+000	0.000000000e+000
3.290000000e+000	4.100000000e+001	1.110000000e+001	0.000000000e+000	0.000000000e+000
7.070000000e+000	3.200000000e+001	1.890000000e+001	0.000000000e+000	0.000000000e+000
2.155000000e+001	2.300000000e+001	2.334000000e+001	0.000000000e+000	0.000000000e+000
1.068000000e+001	3.000000000e+001	2.001000000e+001	0.000000000e+000	0.000000000e+000
4.850000000e+000	4.100000000e+001	1.110000000e+001	0.000000000e+000	0.000000000e+000
1.352000000e+001	2.600000000e+001	2.334000000e+001	0.000000000e+000	0.000000000e+000
2.149000000e+001	2.700000000e+001	2.001000000e+001	0.000000000e+000	0.000000000e+000
2.149000000e+001	2.700000000e+001	2.001000000e+001	0.000000000e+000	0.000000000e+000
7.180000000e+000	3.200000000e+001	2.001000000e+001	1.000000000e+000	0.000000000e+000
3.079000000e+001	2.200000000e+001	2.223000000e+001	1.000000000e+000	0.000000000e+000
1.548000000e+001	2.600000000e+001	2.334000000e+001	0.000000000e+000	0.000000000e+000
1.068000000e+001	3.100000000e+001	2.001000000e+001	1.000000000e+000	0.000000000e+000
1.405000000e+001	3.000000000e+001	2.001000000e+001	0.000000000e+000	0.000000000e+000
1.401000000e+001	2.900000000e+001	2.112000000e+001	1.000000000e+000	0.000000000e+000
8.680000000e+000	3.000000000e+001	2.223000000e+001	0.000000000e+000	0.000000000e+000
2.501000000e+001	2.900000000e+001	1.779000000e+001	0.000000000e+000	0.000000000e+000
2.598000000e+001	2.000000000e+001	2.667000000e+001	1.000000000e+000	0.000000000e+000
2.099000000e+001	2.900000000e+001	2.001000000e+001	1.000000000e+000	0.000000000e+000
7.820000000e+000	3.600000000e+001	1.779000000e+001	1.000000000e+000	0.000000000e+000
1.014000000e+001	3.200000000e+001	2.112000000e+001	0.000000000e+000	0.000000000e+000
2.312000000e+001	2.900000000e+001	2.001000000e+001	0.000000000e+000	0.000000000e+000
8.500000000e+000	3.500000000e+001	1.890000000e+001	1.000000000e+000	0.000000000e+000
6.650000000e+000	3.900000000e+001	1.556000000e+001	1.000000000e+000	0.000000000e+000
1.336000000e+001	2.900000000e+001	2.334000000e+001	0.000000000e+000	0.000000000e+000
7.760000000e+000	3.200000000e+001	2.223000000e+001	0.000000000e+000	0.000000000e+000
1.354000000e+001	2.900000000e+001	2.334000000e+001	0.000000000e+000	0.000000000e+000
1.964000000e+001	2.700000000e+001	2.334000000e+001	0.000000000e+000	0.000000000e+000
1.372000000e+001	2.900000000e+001	2.334000000e+001	0.000000000e+000	0.000000000e+000
1.376000000e+001	2.900000000e+001	2.334000000e+001	0.000000000e+000	0.000000000e+000
7.000000000e+000	3.800000000e+001	1.668000000e+001	1.000000000e+000	0.000000000e+000
7.040000000e+000	3.800000000e+001	1.668000000e+001	1.000000000e+000	0.000000000e+000
1.792000000e+001	2.800000000e+001	2.334000000e+001	0.000000000e+000	0.000000000e+000
1.251000000e+001	3.000000000e+001	2.334000000e+001	0.000000000e+000	0.000000000e+000
2.171000000e+001	2.700000000e+001	2.334000000e+001	0.000000000e+000	0.000000000e+000
8.680000000e+000	3.600000000e+001	1.890000000e+001	0.000000000e+000	0.000000000e+000
1.856000000e+001	2.500000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
1.069000000e+001	3.100000000e+001	2.334000000e+001	0.000000000e+000	0.000000000e+000
6.980000000e+000	3.900000000e+001	1.668000000e+001	1.000000000e+000	0.000000000e+000
2.155000000e+001	2.700000000e+001	2.445000000e+001	0.000000000e+000	0.000000000e+000
8.030000000e+000	3.600000000e+001	2.001000000e+001	1.000000000e+000	0.000000000e+000
4.380000000e+000	4.400000000e+001	1.333000000e+001	0.000000000e+000	0.000000000e+000
3.420000000e+000	3.900000000e+001	1.890000000e+001	0.000000000e+000	0.000000000e+000
1.451000000e+001	3.100000000e+001	2.334000000e+001	0.000000000e+000	0.000000000e+000
6.650000000e+000	3.700000000e+001	2.001000000e+001	0.000000000e+000	0.000000000e+000
7.000000000e+000	3.700000000e+001	2.001000000e+001	1.000000000e+000	0.000000000e+000
7.700000000e+000	3.900000000e+001	1.779000000e+001	1.000000000e+000	0.000000000e+000
1.566000000e+001	3.100000000e+001	2.334000000e+001	1.000000000e+000	0.000000000e+000
2.214000000e+001	2.900000000e+001	2.334000000e+001	1.000000000e+000	0.000000000e+000
8.230000000e+000	3.700000000e+001	2.001000000e+001	0.000000000e+000	0.000000000e+000
1.055000000e+001	3.000000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
7.210000000e+000	4.000000000e+001	1.779000000e+001	1.000000000e+000	0.000000000e+000
8.500000000e+000	3.800000000e+001	2.001000000e+001	1.000000000e+000	0.000000000e+000
8.540000000e+000	3.800000000e+001	2.001000000e+001	0.000000000e+000	0.000000000e+000
2.173000000e+001	2.700000000e+001	2.667000000e+001	1.000000000e+000	0.000000000e+000
2.277000000e+001	2.700000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
7.370000000e+000	4.000000000e+001	1.890000000e+001	1.000000000e+000	0.000000000e+000
7.330000000e+000	3.800000000e+001	2.112000000e+001	0.000000000e+000	0.000000000e+000
2.314000000e+001	3.200000000e+001	2.223000000e+001	0.000000000e+000	0.000000000e+000
1.729000000e+001	3.300000000e+001	2.334000000e+001	0.000000000e+000	0.000000000e+000
2.138000000e+001	4.500000000e+001	1.000000000e+001	1.000000000e+000	0.000000000e+000
6.750000000e+000	4.000000000e+001	2.001000000e+001	0.000000000e+000	0.000000000e+000
6.920000000e+000	4.100000000e+001	2.001000000e+001	0.000000000e+000	0.000000000e+000
1.847000000e+001	3.300000000e+001	2.334000000e+001	0.000000000e+000	0.000000000e+000
8.460000000e+000	4.200000000e+001	1.779000000e+001	1.000000000e+000	0.000000000e+000
7.120000000e+000	4.700000000e+001	1.334000000e+001	1.000000000e+000	0.000000000e+000
1.376000000e+001	3.500000000e+001	2.334000000e+001	1.000000000e+000	0.000000000e+000
2.251000000e+001	2.900000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
1.869000000e+001	3.500000000e+001	2.223000000e+001	0.000000000e+000	0.000000000e+000
4.870000000e+000	4.900000000e+001	1.333000000e+001	0.000000000e+000	0.000000000e+000
6.900000000e+000	4.400000000e+001	1.779000000e+001	0.000000000e+000	0.000000000e+000
1.435000000e+001	3.300000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
5.000000000e+000	4.500000000e+001	1.779000000e+001	0.000000000e+000	0.000000000e+000
9.730000000e+000	3.800000000e+001	2.334000000e+001	0.000000000e+000	0.000000000e+000
8.290000000e+000	4.100000000e+001	2.112000000e+001	1.000000000e+000	0.000000000e+000
3.680000000e+000	5.100000000e+001	1.444000000e+001	1.000000000e+000	0.000000000e+000
9.420000000e+000	3.800000000e+001	2.556000000e+001	1.000000000e+000	0.000000000e+000
3.441000000e+001	3.200000000e+001	2.334000000e+001	0.000000000e+000	0.000000000e+000
8.500000000e+000	4.400000000e+001	2.001000000e+001	1.000000000e+000	0.000000000e+000
1.354000000e+001	3.900000000e+001	2.334000000e+001	1.000000000e+000	0.000000000e+000
1.919000000e+001	3.600000000e+001	2.445000000e+001	1.000000000e+000	0.000000000e+000
1.052000000e+001	4.000000000e+001	2.334000000e+001	0.000000000e+000	0.000000000e+000
6.940000000e+000	4.600000000e+001	1.890000000e+001	0.000000000e+000	0.000000000e+000
1.851000000e+001	3.800000000e+001	2.334000000e+001	0.000000000e+000	0.000000000e+000
7.860000000e+000	4.600000000e+001	1.890000000e+001	0.000000000e+000	0.000000000e+000
2.224000000e+001	3.700000000e+001	2.334000000e+001	0.000000000e+000	0.000000000e+000
1.733000000e+001	4.000000000e+001	2.223000000e+001	1.000000000e+000	0.000000000e+000
1.435000000e+001	4.000000000e+001	2.334000000e+001	0.000000000e+000	0.000000000e+000
7.020000000e+000	4.600000000e+001	2.001000000e+001	0.000000000e+000	0.000000000e+000
1.223000000e+001	4.000000000e+001	2.445000000e+001	0.000000000e+000	0.000000000e+000
3.265000000e+001	3.100000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
1.141000000e+001	4.200000000e+001	2.334000000e+001	0.000000000e+000	0.000000000e+000
7.540000000e+000	4.700000000e+001	2.001000000e+001	1.000000000e+000	0.000000000e+000
7.580000000e+000	4.500000000e+001	2.223000000e+001	0.000000000e+000	0.000000000e+000
1.044000000e+001	4.300000000e+001	2.334000000e+001	0.000000000e+000	0.000000000e+000
1.059000000e+001	4.300000000e+001	2.334000000e+001	0.000000000e+000	0.000000000e+000
8.230000000e+000	4.500000000e+001	2.223000000e+001	0.000000000e+000	0.000000000e+000
1.655000000e+001	4.000000000e+001	2.445000000e+001	0.000000000e+000	0.000000000e+000
1.405000000e+001	4.200000000e+001	2.334000000e+001	0.000000000e+000	0.000000000e+000
1.790000000e+001	4.000000000e+001	2.445000000e+001	0.000000000e+000	0.000000000e+000
1.786000000e+001	3.900000000e+001	2.334000000e+001	0.000000000e+000	0.000000000e+000
2.128000000e+001	4.600000000e+001	1.778000000e+001	0.000000000e+000	0.000000000e+000
1.499000000e+001	4.300000000e+001	2.334000000e+001	0.000000000e+000	0.000000000e+000
7.580000000e+000	4.700000000e+001	2.223000000e+001	0.000000000e+000	0.000000000e+000
2.812000000e+001	3.800000000e+001	2.445000000e+001	0.000000000e+000	0.000000000e+000
1.315000000e+001	4.100000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
1.917000000e+001	3.900000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
6.750000000e+000	5.100000000e+001	1.890000000e+001	1.000000000e+000	0.000000000e+000
3.190000000e+000	6.000000000e+001	1.110000000e+001	0.000000000e+000	0.000000000e+000
7.190000000e+000	5.100000000e+001	1.890000000e+001	0.000000000e+000	0.000000000e+000
1.733000000e+001	4.600000000e+001	2.112000000e+001	0.000000000e+000	0.000000000e+000
1.331000000e+001	4.200000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
9.750000000e+000	5.000000000e+001	2.001000000e+001	1.000000000e+000	0.000000000e+000
7.840000000e+000	5.400000000e+001	1.667000000e+001	0.000000000e+000	0.000000000e+000
7.310000000e+000	5.200000000e+001	1.890000000e+001	1.000000000e+000	0.000000000e+000
6.980000000e+000	5.100000000e+001	2.001000000e+001	0.000000000e+000	0.000000000e+000
3.680000000e+000	5.800000000e+001	1.444000000e+001	0.000000000e+000	0.000000000e+000
1.231000000e+001	4.300000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
2.241000000e+001	4.300000000e+001	2.334000000e+001	0.000000000e+000	0.000000000e+000
9.810000000e+000	4.500000000e+001	2.556000000e+001	0.000000000e+000	0.000000000e+000
1.854000000e+001	4.100000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
7.040000000e+000	4.500000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
4.810000000e+000	5.700000000e+001	1.556000000e+001	0.000000000e+000	0.000000000e+000
1.462000000e+001	4.300000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
7.640000000e+000	5.100000000e+001	2.112000000e+001	1.000000000e+000	0.000000000e+000
1.219000000e+001	4.400000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
2.230000000e+001	5.000000000e+001	1.778000000e+001	1.000000000e+000	0.000000000e+000
1.041000000e+001	4.400000000e+001	2.778000000e+001	0.000000000e+000	0.000000000e+000
7.290000000e+000	5.400000000e+001	1.890000000e+001	1.000000000e+000	0.000000000e+000
2.599000000e+001	4.000000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
2.552000000e+001	4.400000000e+001	2.334000000e+001	1.000000000e+000	0.000000000e+000
6.810000000e+000	5.500000000e+001	1.890000000e+001	0.000000000e+000	0.000000000e+000
1.354000000e+001	4.500000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
1.315000000e+001	4.900000000e+001	2.334000000e+001	0.000000000e+000	0.000000000e+000
8.460000000e+000	5.400000000e+001	2.001000000e+001	0.000000000e+000	0.000000000e+000
2.183000000e+001	4.300000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
2.200000000e+001	4.300000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
1.369000000e+001	4.600000000e+001	2.667000000e+001	1.000000000e+000	0.000000000e+000
2.267000000e+001	4.300000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
6.940000000e+000	5.400000000e+001	2.112000000e+001	0.000000000e+000	0.000000000e+000
7.740000000e+000	5.400000000e+001	2.112000000e+001	1.000000000e+000	0.000000000e+000
2.349000000e+001	4.400000000e+001	2.667000000e+001	1.000000000e+000	0.000000000e+000
9.220000000e+000	4.900000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
2.198000000e+001	4.500000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
8.190000000e+000	5.300000000e+001	2.334000000e+001	1.000000000e+000	0.000000000e+000
1.568000000e+001	4.800000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
1.630000000e+001	4.800000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
2.261000000e+001	4.600000000e+001	2.667000000e+001	1.000000000e+000	0.000000000e+000
2.130000000e+001	4.700000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
2.708000000e+001	4.600000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
1.411000000e+001	5.100000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
1.444000000e+001	5.100000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
1.743000000e+001	5.000000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
1.835000000e+001	5.100000000e+001	2.556000000e+001	0.000000000e+000	0.000000000e+000
7.580000000e+000	5.800000000e+001	2.223000000e+001	1.000000000e+000	0.000000000e+000
1.514000000e+001	4.900000000e+001	2.889000000e+001	0.000000000e+000	0.000000000e+000
2.552000000e+001	4.800000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
2.943000000e+001	4.600000000e+001	2.778000000e+001	0.000000000e+000	0.000000000e+000
2.098000000e+001	5.100000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
1.852000000e+001	5.200000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
1.007000000e+001	5.600000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
2.273000000e+001	5.200000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
3.647000000e+001	4.800000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
7.640000000e+000	6.000000000e+001	2.445000000e+001	0.000000000e+000	0.000000000e+000
1.376000000e+001	5.600000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
2.126000000e+001	5.400000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
1.405000000e+001	5.700000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
1.776000000e+001	5.300000000e+001	3.000000000e+001	0.000000000e+000	0.000000000e+000
1.805000000e+001	5.700000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
1.729000000e+001	5.400000000e+001	3.000000000e+001	0.000000000e+000	0.000000000e+000
1.436000000e+001	5.600000000e+001	3.000000000e+001	0.000000000e+000	0.000000000e+000
2.856000000e+001	5.600000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
1.139000000e+001	5.900000000e+001	3.000000000e+001	0.000000000e+000	0.000000000e+000
1.057000000e+001	6.000000000e+001	3.000000000e+001	0.000000000e+000	0.000000000e+000
1.462000000e+001	6.000000000e+001	2.889000000e+001	0.000000000e+000	0.000000000e+000
2.601000000e+001	5.900000000e+001	2.667000000e+001	0.000000000e+000	0.000000000e+000
1.538000000e+001	6.000000000e+001	3.000000000e+001	0.000000000e+000	0.000000000e+000
2.120000000e+001	5.900000000e+001	3.000000000e+001	0.000000000e+000	0.000000000e+000
