Name	Food	Decor	Service	Price
Gam mee ok	2.300000000e+001	1.400000000e+001	1.600000000e+001	2.100000000e+001
Gene's	1.700000000e+001	1.200000000e+001	1.900000000e+001	3.400000000e+001
Hangawi	2.300000000e+001	2.500000000e+001	2.300000000e+001	4.100000000e+001
hasaki	2.500000000e+001	1.400000000e+001	1.800000000e+001	3.700000000e+001
Iso	2.400000000e+001	1.400000000e+001	1.700000000e+001	3.800000000e+001
Jekyll & Hyde Club	9.000000000e+000	2.000000000e+001	1.200000000e+001	3.000000000e+001
Joe's shangai	2.000000000e+001	8.000000000e+000	1.200000000e+001	2.300000000e+001
Johnny Rockets	1.400000000e+001	1.500000000e+001	1.400000000e+001	1.500000000e+001
John's pizzeria	2.100000000e+001	1.200000000e+001	1.400000000e+001	2.000000000e+001
Junior's	1.700000000e+001	1.000000000e+001	1.300000000e+001	2.000000000e+001
Les Halles	2.100000000e+001	1.500000000e+001	1.600000000e+001	4.200000000e+001
Leshko's	1.600000000e+001	1.700000000e+001	1.400000000e+001	2.700000000e+001
Marks	2.500000000e+001	2.500000000e+001	2.500000000e+001	6.300000000e+001
Mars	9.000000000e+000	2.100000000e+001	1.300000000e+001	2.900000000e+001
Massimo al ponte vecchio	2.000000000e+001	1.500000000e+001	2.200000000e+001	3.700000000e+001
Mayrose	1.500000000e+001	1.000000000e+001	1.100000000e+001	2.100000000e+001
Maz Mezcal	2.100000000e+001	1.700000000e+001	1.800000000e+001	3.300000000e+001
McHales	1.700000000e+001	9.000000000e+000	1.300000000e+001	1.900000000e+001
Mediterraneo	1.800000000e+001	1.400000000e+001	1.400000000e+001	3.600000000e+001
Mee Noodle Shop	1.700000000e+001	4.000000000e+000	1.300000000e+001	1.400000000e+001
Meltemi	2.000000000e+001	1.400000000e+001	1.900000000e+001	4.200000000e+001
Merge	1.900000000e+001	1.600000000e+001	1.800000000e+001	4.000000000e+001
Meskerem	2.300000000e+001	1.000000000e+001	1.600000000e+001	2.300000000e+001
Metro Fish	1.900000000e+001	1.400000000e+001	1.900000000e+001	4.100000000e+001
Metronome	1.600000000e+001	2.200000000e+001	1.600000000e+001	4.100000000e+001
Metropolitan cafe	1.500000000e+001	1.500000000e+001	1.500000000e+001	3.300000000e+001
Minnow, the	2.000000000e+001	1.600000000e+001	2.000000000e+001	3.700000000e+001
Miracle grill	2.000000000e+001	1.800000000e+001	1.600000000e+001	3.300000000e+001
Mocca	1.800000000e+001	9.000000000e+000	1.500000000e+001	2.500000000e+001
Montparnasse	2.000000000e+001	1.900000000e+001	1.800000000e+001	4.200000000e+001
Morrel wine bar	1.800000000e+001	1.700000000e+001	1.600000000e+001	4.400000000e+001
Moustache	2.100000000e+001	1.100000000e+001	1.400000000e+001	2.100000000e+001
Mr. K's	2.400000000e+001	2.400000000e+001	2.500000000e+001	5.200000000e+001
Nam	2.300000000e+001	2.100000000e+001	1.800000000e+001	3.600000000e+001
Natine's	1.800000000e+001	1.500000000e+001	1.800000000e+001	3.100000000e+001
New Pasteur	1.900000000e+001	5.000000000e+000	1.300000000e+001	1.500000000e+001
Novità	2.300000000e+001	1.900000000e+001	2.100000000e+001	4.800000000e+001
Nyonya	2.100000000e+001	1.100000000e+001	1.300000000e+001	2.000000000e+001
Odeon, the	1.800000000e+001	1.700000000e+001	1.700000000e+001	3.900000000e+001
Ollie's	1.500000000e+001	9.000000000e+000	1.200000000e+001	1.900000000e+001
One c.p.s.	2.100000000e+001	2.100000000e+001	1.900000000e+001	5.500000000e+001
Osso Buco	1.600000000e+001	1.400000000e+001	1.600000000e+001	3.200000000e+001
Osteria al doge	1.900000000e+001	1.600000000e+001	1.800000000e+001	4.200000000e+001
Osteria del circo	2.100000000e+001	2.300000000e+001	2.100000000e+001	5.500000000e+001
Ouest	2.400000000e+001	2.300000000e+001	2.100000000e+001	5.400000000e+001
pellegrino's	2.200000000e+001	1.600000000e+001	2.000000000e+001	3.800000000e+001
prune	2.300000000e+001	1.500000000e+001	1.900000000e+001	4.700000000e+001
Punch	1.800000000e+001	1.800000000e+001	1.700000000e+001	3.500000000e+001
Quattro Gatti	1.800000000e+001	1.500000000e+001	1.700000000e+001	4.000000000e+001
South West Ny	1.300000000e+001	1.700000000e+001	1.000000000e+001	2.900000000e+001
Starbucks	1.200000000e+001	1.000000000e+001	1.000000000e+001	9.000000000e+000
Tomoe sushi	2.700000000e+001	8.000000000e+000	1.500000000e+001	3.600000000e+001
topaz thai	2.200000000e+001	1.100000000e+001	1.600000000e+001	2.700000000e+001
Tuscany grill	2.300000000e+001	1.700000000e+001	2.000000000e+001	4.100000000e+001
Veselka	1.800000000e+001	1.100000000e+001	1.300000000e+001	1.700000000e+001
vine	2.000000000e+001	1.900000000e+001	1.800000000e+001	5.200000000e+001
wo hop	1.900000000e+001	3.000000000e+000	1.200000000e+001	1.600000000e+001
Wollensky's grill	2.100000000e+001	1.500000000e+001	1.900000000e+001	4.300000000e+001
Yama	2.500000000e+001	1.100000000e+001	1.500000000e+001	3.600000000e+001
Yuka	1.800000000e+001	1.000000000e+001	1.700000000e+001	2.700000000e+001
Yura & Co	1.900000000e+001	1.200000000e+001	1.400000000e+001	2.300000000e+001
Zitoune	2.000000000e+001	1.900000000e+001	1.900000000e+001	4.100000000e+001
Zutto	2.200000000e+001	1.800000000e+001	1.800000000e+001	3.600000000e+001
