Year	G	PG	I	PNC	PUC	PPT	PD	PN	PS	YR	YRSQ	logG	logPG	logI	logPNC	logPUC	logPPT	logPD	logPN	logPS	Population	G $ per capita	logGpc	Lagged logGpc	Lagged logPG
1.970000000e+003	2.074000000e+002	1.056000000e+000	8.134000000e+003	1.076000000e+000	1.043000000e+000	1.285000000e+000	5.270000000e-001	4.270000000e-001	4.070000000e-001	-3.000000000e+000	9.000000000e+000	2.316808752e+000	2.366391820e-002	3.910304168e+000	3.181227133e-002	1.828430843e-002	1.089031277e-001	-2.781893848e-001	-3.695721250e-001	-3.904055908e-001	2.039840000e+001	1.016746411e+001	1.007212648e+000	9.877855681e-001	1.994668168e-002
1.971000000e+003	2.183000000e+002	1.063000000e+000	8.322000000e+003	1.120000000e+000	1.102000000e+000	1.377000000e+000	5.470000000e-001	4.420000000e-001	4.310000000e-001	-2.000000000e+000	4.000000000e+000	2.339053736e+000	2.653326452e-002	3.920227711e+000	4.921802267e-002	4.218159452e-002	1.389339403e-001	-2.620126737e-001	-3.545777307e-001	-3.655227298e-001	2.068270000e+001	1.055471481e+001	1.023446503e+000	1.007212648e+000	2.366391820e-002
1.972000000e+003	2.268000000e+002	1.076000000e+000	8.562000000e+003	1.110000000e+000	1.105000000e+000	1.434000000e+000	5.550000000e-001	4.580000000e-001	4.510000000e-001	-1.000000000e+000	1.000000000e+000	2.355643050e+000	3.181227133e-002	3.932575223e+000	4.532297879e-002	4.336227802e-002	1.565491513e-001	-2.557070169e-001	-3.391345220e-001	-3.458234581e-001	2.092840000e+001	1.083694884e+001	1.034907023e+000	1.023446503e+000	2.653326452e-002
1.973000000e+003	2.379000000e+002	1.181000000e+000	9.042000000e+003	1.111000000e+000	1.176000000e+000	1.448000000e+000	5.660000000e-001	4.970000000e-001	4.740000000e-001	0.000000000e+000	0.000000000e+000	2.376394442e+000	7.224989761e-002	3.956264503e+000	4.571405894e-002	7.040732174e-002	1.607685619e-001	-2.471835688e-001	-3.036436113e-001	-3.242216583e-001	2.113570000e+001	1.125583728e+001	1.051377806e+000	1.034907023e+000	3.181227133e-002
1.974000000e+003	2.258000000e+002	1.599000000e+000	8.867000000e+003	1.175000000e+000	1.226000000e+000	1.480000000e+000	6.040000000e-001	5.720000000e-001	5.130000000e-001	1.000000000e+000	1.000000000e+000	2.353723938e+000	2.038484637e-001	3.947776708e+000	7.003786661e-002	8.849047018e-002	1.702617154e-001	-2.189630614e-001	-2.426039712e-001	-2.898826349e-001	2.133420000e+001	1.058394503e+001	1.024647575e+000	1.051377806e+000	7.224989761e-002
1.975000000e+003	2.324000000e+002	1.708000000e+000	8.944000000e+003	1.276000000e+000	1.464000000e+000	1.586000000e+000	6.590000000e-001	6.150000000e-001	5.560000000e-001	2.000000000e+000	4.000000000e+000	2.366236124e+000	2.324878664e-001	3.951531791e+000	1.058506744e-001	1.655410767e-001	2.003031830e-001	-1.811145854e-001	-2.111248842e-001	-2.549252084e-001	2.154650000e+001	1.078597452e+001	1.032859390e+000	1.024647575e+000	2.038484637e-001
1.976000000e+003	2.417000000e+002	1.779000000e+000	9.175000000e+003	1.357000000e+000	1.679000000e+000	1.742000000e+000	6.950000000e-001	6.380000000e-001	5.980000000e-001	3.000000000e+000	9.000000000e+000	2.383276650e+000	2.501759481e-001	3.962606073e+000	1.325798477e-001	2.250506961e-001	2.410481507e-001	-1.580151954e-001	-1.951793213e-001	-2.232988160e-001	2.175630000e+001	1.110942578e+001	1.045691612e+000	1.032859390e+000	2.324878664e-001
1.977000000e+003	2.492000000e+002	1.882000000e+000	9.381000000e+003	1.429000000e+000	1.828000000e+000	1.824000000e+000	7.270000000e-001	6.710000000e-001	6.480000000e-001	4.000000000e+000	1.600000000e+001	2.396548038e+000	2.746196191e-001	3.972249136e+000	1.550322288e-001	2.619761914e-001	2.610248340e-001	-1.384655891e-001	-1.732774798e-001	-1.884249941e-001	2.197600000e+001	1.133964325e+001	1.054599392e+000	1.045691612e+000	2.501759481e-001
1.978000000e+003	2.613000000e+002	1.963000000e+000	9.735000000e+003	1.538000000e+000	1.865000000e+000	1.878000000e+000	7.690000000e-001	7.190000000e-001	6.980000000e-001	5.000000000e+000	2.500000000e+001	2.417139410e+000	2.929202996e-001	3.988335956e+000	1.869563355e-001	2.706788361e-001	2.736955879e-001	-1.140736602e-001	-1.432711096e-001	-1.561445774e-001	2.220950000e+001	1.176523560e+001	1.070600628e+000	1.054599392e+000	2.746196191e-001
1.979000000e+003	2.489000000e+002	2.656000000e+000	9.829000000e+003	1.660000000e+000	2.010000000e+000	2.003000000e+000	8.210000000e-001	8.000000000e-001	7.560000000e-001	6.000000000e+000	3.600000000e+001	2.396024897e+000	4.242280707e-001	3.992509335e+000	2.201080880e-001	3.031960574e-001	3.016809493e-001	-8.565684288e-002	-9.691001301e-002	-1.214782045e-001	2.245670000e+001	1.108355190e+001	1.044678959e+000	1.070600628e+000	2.929202996e-001
1.980000000e+003	2.268000000e+002	3.691000000e+000	9.722000000e+003	1.793000000e+000	2.081000000e+000	2.516000000e+000	8.920000000e-001	8.940000000e-001	8.390000000e-001	7.000000000e+000	4.900000000e+001	2.355643050e+000	5.671440452e-001	3.987755617e+000	2.535802896e-001	3.182720802e-001	4.007106368e-001	-4.963514562e-002	-4.866248120e-002	-7.623803917e-002	2.272250000e+001	9.981296072e+000	9.991869381e-001	1.044678959e+000	4.242280707e-001
1.981000000e+003	2.256000000e+002	4.109000000e+000	9.769000000e+003	1.902000000e+000	2.569000000e+000	3.120000000e+000	9.570000000e-001	9.690000000e-001	9.260000000e-001	8.000000000e+000	6.400000000e+001	2.353339095e+000	6.137361413e-001	3.989850110e+000	2.792105126e-001	4.097641043e-001	4.941545940e-001	-1.908806222e-002	-1.367622295e-002	-3.338901332e-002	2.294660000e+001	9.831521881e+000	9.926207501e-001	9.991869381e-001	5.671440452e-001
1.982000000e+003	2.288000000e+002	3.894000000e+000	9.725000000e+003	1.976000000e+000	2.964000000e+000	3.460000000e+000	1.000000000e+000	1.000000000e+000	1.000000000e+000	9.000000000e+000	8.100000000e+001	2.359456020e+000	5.903959472e-001	3.987889610e+000	2.957869403e-001	4.718781993e-001	5.390760988e-001	0.000000000e+000	0.000000000e+000	0.000000000e+000	2.316640000e+001	9.876372678e+000	9.945974694e-001	9.926207501e-001	6.137361413e-001
1.983000000e+003	2.396000000e+002	3.764000000e+000	9.930000000e+003	2.026000000e+000	3.297000000e+000	3.626000000e+000	1.041000000e+000	1.021000000e+000	1.062000000e+000	1.000000000e+001	1.000000000e+002	2.379486814e+000	5.756496148e-001	3.996949248e+000	3.066394410e-001	5.181189471e-001	5.594277998e-001	1.745072951e-002	9.025742087e-003	2.612451675e-002	2.337920000e+001	1.024842595e+001	1.010657168e+000	9.945974694e-001	5.903959472e-001
1.984000000e+003	2.447000000e+002	3.707000000e+000	1.042100000e+004	2.085000000e+000	3.757000000e+000	3.852000000e+000	1.038000000e+000	1.050000000e+000	1.117000000e+000	1.100000000e+001	1.210000000e+002	2.388633969e+000	5.690225860e-001	4.017909396e+000	3.191060593e-001	5.748411951e-001	5.856862785e-001	1.619735351e-002	2.118929907e-002	4.805317312e-002	2.358250000e+001	1.037633839e+001	1.016044126e+000	1.010657168e+000	5.756496148e-001
1.985000000e+003	2.458000000e+002	3.738000000e+000	1.056300000e+004	2.152000000e+000	3.797000000e+000	4.028000000e+000	1.045000000e+000	1.075000000e+000	1.173000000e+000	1.200000000e+001	1.440000000e+002	2.390581879e+000	5.726392970e-001	4.023787280e+000	3.328422670e-001	5.794405971e-001	6.050894619e-001	1.911629045e-002	3.140846425e-002	6.929801212e-002	2.379240000e+001	1.033103008e+001	1.014143626e+000	1.016044126e+000	5.690225860e-001
1.986000000e+003	2.694000000e+002	2.921000000e+000	1.078000000e+004	2.240000000e+000	3.632000000e+000	4.264000000e+000	1.053000000e+000	1.069000000e+000	1.224000000e+000	1.300000000e+001	1.690000000e+002	2.430397591e+000	4.655315570e-001	4.032618761e+000	3.502480183e-001	5.601458398e-001	6.298171960e-001	2.242837119e-002	2.897770521e-002	8.778141781e-002	2.401330000e+001	1.121878292e+001	1.049945745e+000	1.014143626e+000	5.726392970e-001
1.987000000e+003	2.768000000e+002	3.038000000e+000	1.085900000e+004	2.321000000e+000	3.776000000e+000	4.413000000e+000	1.085000000e+000	1.111000000e+000	1.271000000e+000	1.400000000e+001	1.960000000e+002	2.442166086e+000	4.825877695e-001	4.035789833e+000	3.656751405e-001	5.770319856e-001	6.447339274e-001	3.542973818e-002	4.571405894e-002	1.041455506e-001	2.422890000e+001	1.142437337e+001	1.057832388e+000	1.049945745e+000	4.655315570e-001
1.988000000e+003	2.799000000e+002	3.065000000e+000	1.118600000e+004	2.368000000e+000	3.939000000e+000	4.494000000e+000	1.105000000e+000	1.152000000e+000	1.336000000e+000	1.500000000e+001	2.250000000e+002	2.447002898e+000	4.864304789e-001	4.048674815e+000	3.743816981e-001	5.953859808e-001	6.526330681e-001	4.336227802e-002	6.145247909e-002	1.258064581e-001	2.444990000e+001	1.144789958e+001	1.058725811e+000	1.057832388e+000	4.825877695e-001
1.989000000e+003	2.841000000e+002	3.353000000e+000	1.130000000e+004	2.414000000e+000	4.019000000e+000	4.719000000e+000	1.129000000e+000	1.213000000e+000	1.408000000e+000	1.600000000e+001	2.560000000e+002	2.453471234e+000	5.254335534e-001	4.053078443e+000	3.827372658e-001	6.041180062e-001	6.738499773e-001	5.269394192e-002	8.386080087e-002	1.486026548e-001	2.468190000e+001	1.151045908e+001	1.061092645e+000	1.058725811e+000	4.864304789e-001
1.990000000e+003	2.820000000e+002	3.834000000e+000	1.138900000e+004	2.451000000e+000	3.926000000e+000	5.197000000e+000	1.144000000e+000	1.285000000e+000	1.482000000e+000	1.700000000e+001	2.890000000e+002	2.450249108e+000	5.836521085e-001	4.056485593e+000	3.893433113e-001	5.939502953e-001	7.157527168e-001	5.842602446e-002	1.089031277e-001	1.708482036e-001	2.493990000e+001	1.130718247e+001	1.053354401e+000	1.061092645e+000	5.254335534e-001
1.991000000e+003	2.718000000e+002	3.766000000e+000	1.127200000e+004	2.538000000e+000	3.942000000e+000	5.427000000e+000	1.167000000e+000	1.332000000e+000	1.557000000e+000	1.800000000e+001	3.240000000e+002	2.434249452e+000	5.758803157e-001	4.052000980e+000	4.044916178e-001	5.957166199e-001	7.345598216e-001	6.707085605e-002	1.245042248e-001	1.922886126e-001	2.521370000e+001	1.077985381e+001	1.032612871e+000	1.053354401e+000	5.836521085e-001
1.992000000e+003	2.802000000e+002	3.751000000e+000	1.146600000e+004	2.528000000e+000	4.113000000e+000	5.518000000e+000	1.184000000e+000	1.358000000e+000	1.625000000e+000	1.900000000e+001	3.610000000e+002	2.447468131e+000	5.741470642e-001	4.059411937e+000	4.027770696e-001	6.141587095e-001	7.417816961e-001	7.335170239e-002	1.328997699e-001	2.108533653e-001	2.550780000e+001	1.098487521e+001	1.040795128e+000	1.032612871e+000	5.758803157e-001
1.993000000e+003	2.867000000e+002	3.713000000e+000	1.147600000e+004	2.663000000e+000	4.470000000e+000	6.086000000e+000	1.200000000e+000	1.379000000e+000	1.684000000e+000	2.000000000e+001	4.000000000e+002	2.457427693e+000	5.697249492e-001	4.059790540e+000	4.253711664e-001	6.503075231e-001	7.843319480e-001	7.918124605e-002	1.395642662e-001	2.263420872e-001	2.579080000e+001	1.111636708e+001	1.045962879e+000	1.040795128e+000	5.741470642e-001
1.994000000e+003	2.902000000e+002	3.732000000e+000	1.163600000e+004	2.754000000e+000	4.730000000e+000	6.268000000e+000	1.225000000e+000	1.396000000e+000	1.734000000e+000	2.100000000e+001	4.410000000e+002	2.462697408e+000	5.719416351e-001	4.065803713e+000	4.399639359e-001	6.748611407e-001	7.971289878e-001	8.813608870e-002	1.448854183e-001	2.390490931e-001	2.603720000e+001	1.114559169e+001	1.047103129e+000	1.045962879e+000	5.697249492e-001
1.995000000e+003	2.978000000e+002	3.789000000e+000	1.193400000e+004	2.815000000e+000	5.224000000e+000	6.410000000e+000	1.239000000e+000	1.419000000e+000	1.786000000e+000	2.200000000e+001	4.840000000e+002	2.473924693e+000	5.785246053e-001	4.076786034e+000	4.494783992e-001	7.180031683e-001	8.068580295e-001	9.307130638e-002	1.519823955e-001	2.518814546e-001	2.628900000e+001	1.132793183e+001	1.054150627e+000	1.047103129e+000	5.719416351e-001
