x	yar	yma	yar*	xar*	yma*	xma*	yar2	yrw	xnew	ynew
3.500000000e+001	3.582632140e+002	3.489582990e+002	1.060701709e+002	1.154000000e+001	1.746356726e+002	1.766000000e+001	-1.438000000e+001	2.071420598e+000	1.350000000e+002	-2.697632402e+001
3.600000000e+001	3.618448474e+002	3.687388114e+002	1.146432297e+002	1.185000000e+001	1.907700789e+002	1.815000000e+001	-1.424000000e+001	-3.106448713e-001	1.360000000e+002	-2.622479008e+001
3.700000000e+001	3.567968256e+002	3.814580423e+002	1.071238809e+002	1.216000000e+001	1.934012485e+002	1.864000000e+001	-1.484000000e+001	7.355686721e+000	1.370000000e+002	-2.297505698e+001
3.800000000e+001	3.815213840e+002	3.902515501e+002	1.353315743e+002	1.247000000e+001	1.957079485e+002	1.913000000e+001	-1.504000000e+001	1.522928392e+001	1.380000000e+002	-2.689207235e+001
3.900000000e+001	3.830773934e+002	3.964205349e+002	1.198276384e+002	1.278000000e+001	1.973922443e+002	1.962000000e+001	-1.353000000e+001	1.167950296e+001	1.390000000e+002	-3.285115227e+001
4.000000000e+001	4.141708204e+002	3.962226189e+002	1.498474190e+002	1.309000000e+001	1.940481461e+002	2.011000000e+001	-1.266000000e+001	6.879193942e+000	1.400000000e+002	-3.097913528e+001
4.100000000e+001	4.204774011e+002	4.219456183e+002	1.346995350e+002	1.340000000e+001	2.198720827e+002	2.060000000e+001	-1.186000000e+001	1.209791523e+001	1.410000000e+002	-2.188030833e+001
4.200000000e+001	4.232987412e+002	4.456856940e+002	1.331693344e+002	1.371000000e+001	2.304934287e+002	2.109000000e+001	-1.293000000e+001	1.715767824e+001	1.420000000e+002	-2.473349631e+001
4.300000000e+001	4.366866597e+002	4.434418005e+002	1.446105283e+002	1.402000000e+001	2.161420966e+002	2.158000000e+001	-1.337000000e+001	1.812137730e+001	1.430000000e+002	-2.100267028e+001
4.400000000e+001	4.510185536e+002	4.494672464e+002	1.497047584e+002	1.433000000e+001	2.233119281e+002	2.207000000e+001	-1.412000000e+001	1.348492107e+001	1.440000000e+002	-1.765757005e+001
4.500000000e+001	4.591893965e+002	4.692530553e+002	1.479865945e+002	1.464000000e+001	2.400247596e+002	2.256000000e+001	-1.278000000e+001	1.075543087e+001	1.450000000e+002	-1.757578984e+001
4.600000000e+001	4.612061412e+002	4.831149561e+002	1.443654576e+002	1.495000000e+001	2.437958979e+002	2.305000000e+001	-1.116000000e+001	1.011531884e+001	1.460000000e+002	-2.492765517e+001
4.700000000e+001	4.750935517e+002	4.818601121e+002	1.568613143e+002	1.526000000e+001	2.354714845e+002	2.354000000e+001	-1.205000000e+001	4.154655615e+000	1.470000000e+002	-1.611370579e+001
4.800000000e+001	4.820643729e+002	5.027463327e+002	1.542498222e+002	1.557000000e+001	2.569976755e+002	2.403000000e+001	-1.324000000e+001	6.463253691e+000	1.480000000e+002	-1.530229701e+001
4.900000000e+001	4.997353287e+002	5.159735247e+002	1.671109114e+002	1.588000000e+001	2.595728950e+002	2.452000000e+001	-1.286000000e+001	1.908101480e+001	1.490000000e+002	-1.619816017e+001
5.000000000e+001	5.024563905e+002	4.996125315e+002	1.576390137e+002	1.619000000e+001	2.364660339e+002	2.501000000e+001	-1.134000000e+001	2.239663011e+001	1.500000000e+002	-1.595139752e+001
5.100000000e+001	5.386412433e+002	4.935871521e+002	1.919463339e+002	1.650000000e+001	2.387847610e+002	2.550000000e+001	-1.023000000e+001	2.380153947e+001	1.510000000e+002	-1.739362219e+001
5.200000000e+001	5.255954185e+002	5.023155007e+002	1.539329606e+002	1.681000000e+001	2.505860531e+002	2.599000000e+001	-9.890000000e+000	3.026072841e+001	1.520000000e+002	-2.062758443e+001
5.300000000e+001	5.534227516e+002	5.352244563e+002	1.907619128e+002	1.712000000e+001	2.790435509e+002	2.648000000e+001	-1.044000000e+001	3.174657635e+001	1.530000000e+002	-2.184620134e+001
5.400000000e+001	5.628324719e+002	5.412150118e+002	1.809707733e+002	1.743000000e+001	2.682505391e+002	2.697000000e+001	-1.036000000e+001	3.125347661e+001	1.540000000e+002	-2.068059784e+001
5.500000000e+001	5.853216071e+002	5.451710165e+002	1.969672015e+002	1.774000000e+001	2.691513605e+002	2.746000000e+001	-1.057000000e+001	3.272310909e+001	1.550000000e+002	-1.752332788e+001
5.600000000e+001	5.905779449e+002	5.623611104e+002	1.867060360e+002	1.805000000e+001	2.843238920e+002	2.795000000e+001	-1.127000000e+001	2.790283287e+001	1.560000000e+002	-1.425364849e+001
5.700000000e+001	6.008684162e+002	5.846507548e+002	1.933696342e+002	1.836000000e+001	2.978465885e+002	2.844000000e+001	-1.224000000e+001	2.948114146e+001	1.570000000e+002	-1.904534876e+001
5.800000000e+001	6.037994107e+002	5.978056921e+002	1.892002035e+002	1.867000000e+001	2.996338072e+002	2.893000000e+001	-1.188000000e+001	2.894021351e+001	1.580000000e+002	-2.756005734e+001
5.900000000e+001	6.180778375e+002	5.913903755e+002	2.014562441e+002	1.898000000e+001	2.865094725e+002	2.942000000e+001	-1.197000000e+001	2.764380702e+001	1.590000000e+002	-2.896769698e+001
6.000000000e+001	6.108326415e+002	6.037537455e+002	1.843589336e+002	1.929000000e+001	3.021446540e+002	2.991000000e+001	-1.181000000e+001	3.131707141e+001	1.600000000e+002	-3.167951805e+001
6.100000000e+001	6.140297842e+002	6.213345236e+002	1.925552616e+002	1.960000000e+001	3.134201134e+002	3.040000000e+001	-1.292000000e+001	3.331180378e+001	1.610000000e+002	-3.487434478e+001
6.200000000e+001	6.413578277e+002	6.321101940e+002	2.176772766e+002	1.991000000e+001	3.152295870e+002	3.089000000e+001	-1.196000000e+001	3.186795403e+001	1.620000000e+002	-3.573232282e+001
6.300000000e+001	6.427961142e+002	6.383722039e+002	2.002592131e+002	2.022000000e+001	3.159960050e+002	3.138000000e+001	-1.184000000e+001	3.495506104e+001	1.630000000e+002	-3.558368820e+001
6.400000000e+001	6.405393415e+002	6.382739604e+002	1.970100227e+002	2.053000000e+001	3.127041364e+002	3.187000000e+001	-1.285000000e+001	2.705654067e+001	1.640000000e+002	-4.132742854e+001
6.500000000e+001	6.713488156e+002	6.441749078e+002	2.293766700e+002	2.084000000e+001	3.186551880e+002	3.236000000e+001	-1.105000000e+001	1.896494859e+001	1.650000000e+002	-3.620402095e+001
6.600000000e+001	6.845647686e+002	6.457827247e+002	2.213340858e+002	2.115000000e+001	3.172535217e+002	3.285000000e+001	-1.232000000e+001	2.019461640e+001	1.660000000e+002	-3.288917489e+001
6.700000000e+001	6.865142252e+002	6.576233410e+002	2.141645349e+002	2.146000000e+001	3.282741514e+002	3.334000000e+001	-1.283000000e+001	2.708876763e+001	1.670000000e+002	-3.411231023e+001
6.800000000e+001	7.015503566e+002	6.718358589e+002	2.278555412e+002	2.177000000e+001	3.364479550e+002	3.383000000e+001	-1.402000000e+001	2.809234793e+001	1.680000000e+002	-4.185114518e+001
6.900000000e+001	7.247167986e+002	6.791408178e+002	2.406470525e+002	2.208000000e+001	3.365045298e+002	3.432000000e+001	-1.350000000e+001	3.349379683e+001	1.690000000e+002	-3.314940021e+001
7.000000000e+001	7.350893144e+002	7.080072254e+002	2.350347234e+002	2.239000000e+001	3.616454083e+002	3.481000000e+001	-1.403000000e+001	3.907759651e+001	1.700000000e+002	-3.721329335e+001
7.100000000e+001	7.431368683e+002	7.256537462e+002	2.359252414e+002	2.270000000e+001	3.645700612e+002	3.530000000e+001	-1.260000000e+001	4.081310682e+001	1.710000000e+002	-3.070881421e+001
7.200000000e+001	7.620517414e+002	7.320387826e+002	2.492873023e+002	2.301000000e+001	3.619553720e+002	3.579000000e+001	-1.267000000e+001	3.932854889e+001	1.720000000e+002	-2.709641102e+001
7.300000000e+001	7.713330296e+002	7.285347577e+002	2.455173280e+002	2.332000000e+001	3.551949786e+002	3.628000000e+001	-1.243000000e+001	4.517458978e+001	1.730000000e+002	-2.663253437e+001
7.400000000e+001	7.792746651e+002	7.449372700e+002	2.470548747e+002	2.363000000e+001	3.733845436e+002	3.677000000e+001	-1.198000000e+001	4.733102664e+001	1.740000000e+002	-2.989268848e+001
7.500000000e+001	7.789460383e+002	7.676611696e+002	2.412465194e+002	2.394000000e+001	3.877431619e+002	3.726000000e+001	-1.151000000e+001	4.275731188e+001	1.750000000e+002	-2.785879157e+001
7.600000000e+001	7.687683319e+002	7.512594237e+002	2.312955655e+002	2.425000000e+001	3.597522272e+002	3.775000000e+001	-1.077000000e+001	4.284557272e+001	1.760000000e+002	-2.534652804e+001
7.700000000e+001	7.808431058e+002	7.720385444e+002	2.503929568e+002	2.456000000e+001	3.888962383e+002	3.824000000e+001	-1.307000000e+001	4.627611845e+001	1.770000000e+002	-2.011112774e+001
7.800000000e+001	7.998000085e+002	7.901576190e+002	2.610182655e+002	2.487000000e+001	3.964179614e+002	3.873000000e+001	-1.303000000e+001	3.512783595e+001	1.780000000e+002	-2.014037314e+001
7.900000000e+001	8.139450819e+002	7.839677005e+002	2.620830760e+002	2.518000000e+001	3.809873148e+002	3.922000000e+001	-1.300000000e+001	4.693850016e+001	1.790000000e+002	-1.480499308e+001
8.000000000e+001	8.133234562e+002	7.918247528e+002	2.517013497e+002	2.549000000e+001	3.920012255e+002	3.971000000e+001	-1.507000000e+001	4.571796886e+001	1.800000000e+002	-1.944663194e+001
8.100000000e+001	8.257042792e+002	8.181770275e+002	2.645110944e+002	2.580000000e+001	4.143464036e+002	4.020000000e+001	-1.539000000e+001	3.982732018e+001	1.810000000e+002	-1.998104425e+001
8.200000000e+001	8.305915013e+002	8.424680330e+002	2.608555487e+002	2.611000000e+001	4.251977490e+002	4.069000000e+001	-1.514000000e+001	4.777275843e+001	1.820000000e+002	-1.534340286e+001
8.300000000e+001	8.368269623e+002	8.465547927e+002	2.637188264e+002	2.642000000e+001	4.168960959e+002	4.118000000e+001	-1.495000000e+001	4.849486882e+001	1.830000000e+002	-1.149488148e+001
8.400000000e+001	8.656571466e+002	8.440943926e+002	2.882465426e+002	2.673000000e+001	4.123514483e+002	4.167000000e+001	-1.522000000e+001	4.187214293e+001	1.840000000e+002	-1.399416089e+001
8.500000000e+001	8.613132173e+002	8.601037866e+002	2.640097861e+002	2.704000000e+001	4.296156464e+002	4.216000000e+001	-1.505000000e+001	3.452419621e+001	1.850000000e+002	-1.562819603e+001
8.600000000e+001	8.637942610e+002	8.726985470e+002	2.694881411e+002	2.735000000e+001	4.340456158e+002	4.265000000e+001	-1.602000000e+001	3.405615358e+001	1.860000000e+002	-1.152177836e+001
8.700000000e+001	8.795388115e+002	8.614731535e+002	2.835207714e+002	2.766000000e+001	4.163968945e+002	4.314000000e+001	-1.484000000e+001	2.815294194e+001	1.870000000e+002	-1.243007964e+001
8.800000000e+001	9.003930103e+002	8.762950474e+002	2.935112304e+002	2.797000000e+001	4.369437391e+002	4.363000000e+001	-1.591000000e+001	3.341570806e+001	1.880000000e+002	-2.479745148e+000
8.900000000e+001	9.152035103e+002	8.994272623e+002	2.939323332e+002	2.828000000e+001	4.525167881e+002	4.412000000e+001	-1.432000000e+001	3.172904156e+001	1.890000000e+002	-1.559853139e+001
9.000000000e+001	9.150465294e+002	9.095103967e+002	2.835561073e+002	2.859000000e+001	4.508024929e+002	4.461000000e+001	-1.469000000e+001	3.721408250e+001	1.900000000e+002	-1.398740918e+001
9.100000000e+001	9.200057628e+002	9.256780701e+002	2.886236575e+002	2.890000000e+001	4.618277678e+002	4.510000000e+001	-1.591000000e+001	3.904477825e+001	1.910000000e+002	-1.385650328e+001
9.200000000e+001	9.459714596e+002	9.460139242e+002	3.111674833e+002	2.921000000e+001	4.739181084e+002	4.559000000e+001	-1.568000000e+001	2.933213435e+001	1.920000000e+002	-7.876054953e+000
9.300000000e+001	9.725927899e+002	9.651941079e+002	3.198724828e+002	2.952000000e+001	4.827270066e+002	4.608000000e+001	-1.513000000e+001	2.521402522e+001	1.930000000e+002	-6.499282257e+000
9.400000000e+001	9.708386808e+002	9.776875642e+002	2.997496558e+002	2.983000000e+001	4.854385692e+002	4.657000000e+001	-1.625000000e+001	2.349748039e+001	1.940000000e+002	-1.021879415e+001
9.500000000e+001	9.880324600e+002	9.769631640e+002	3.181537702e+002	3.014000000e+001	4.783425063e+002	4.706000000e+001	-1.500000000e+001	2.193454188e+001	1.950000000e+002	-1.837033156e+001
9.600000000e+001	9.935297700e+002	9.714070440e+002	3.117873726e+002	3.045000000e+001	4.731558304e+002	4.755000000e+001	-1.712000000e+001	2.171538691e+001	1.960000000e+002	-1.431842763e+001
9.700000000e+001	1.007610230e+003	9.570406660e+002	3.220746887e+002	3.076000000e+001	4.616230736e+002	4.804000000e+001	-1.813000000e+001	2.248803583e+001	1.970000000e+002	-8.862605283e+000
9.800000000e+001	1.017407390e+003	9.561576860e+002	3.221563313e+002	3.107000000e+001	4.680669463e+002	4.853000000e+001	-1.910000000e+001	2.022503476e+001	1.980000000e+002	6.639917856e+000
9.900000000e+001	1.015470340e+003	9.871045160e+002	3.134592409e+002	3.138000000e+001	4.994640961e+002	4.902000000e+001	-1.986000000e+001	1.828631809e+001	1.990000000e+002	1.001569358e+001
1.000000000e+002	1.011192070e+003	1.027202501e+003	3.105175354e+002	3.169000000e+001	5.237791978e+002	4.951000000e+001	-1.942000000e+001	2.314729633e+001	2.000000000e+002	3.875607202e+000
