ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Score_sum,Score_weightedAvg,Score_weightedStdDev,Q1.1,Q1.2,Q1.2_TEXT,Q1.3,Q1.3_TEXT,Q2.1_1,Q2.1_2,Q2.1_3,Q2.1_4,Q2.1_5,Q2.1_6,Q2.1_7,Q2.1_8,Q2.1_8_TEXT,Q2.2_x35,Q2.2_x4,Q2.2_x6,Q2.2_x25,Q2.2_x13,Q2.2_x2,Q2.2_x3,Q2.2_x15,Q2.2_x15_TEXT,Q2.3_x35,Q2.3_x4,Q2.3_x6,Q2.3_x25,Q2.3_x13,Q2.3_x2,Q2.3_x3,Q2.3_x15,Q2.3_x15_TEXT,Q3.1_1_35,Q3.1_2_35,Q3.1_3_35,Q3.1_4_35,Q3.1_5_35,Q3.2_35,Q3.1_1_4,Q3.1_2_4,Q3.1_3_4,Q3.1_4_4,Q3.1_5_4,Q3.2_4,Q3.1_1_6,Q3.1_2_6,Q3.1_3_6,Q3.1_4_6,Q3.1_5_6,Q3.2_6,Q3.1_1_25,Q3.1_2_25,Q3.1_3_25,Q3.1_4_25,Q3.1_5_25,Q3.2_25,Q3.1_1_13,Q3.1_2_13,Q3.1_3_13,Q3.1_4_13,Q3.1_5_13,Q3.2_13,Q3.1_1_2,Q3.1_2_2,Q3.1_3_2,Q3.1_4_2,Q3.1_5_2,Q3.2_2,Q3.1_1_3,Q3.1_2_3,Q3.1_3_3,Q3.1_4_3,Q3.1_5_3,Q3.2_3,Q3.1_1_15,Q3.1_2_15,Q3.1_3_15,Q3.1_4_15,Q3.1_5_15,Q3.2_15,Q4.1,Q4.2,Q5.1,Q5.2_1,Q5.2_2,Q5.2_3,Q5.2_4,LocationLatitude,LocationLongitude,LocationAccuracy
R_2uBuqdy1VOlHn7o,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,37.0,6.166666666666667,4.215052391924289,1,Others,SPA,Staff/Administrator, ,1, , , , , ,1,1,FAME,6 months to less than 2 years, , , , , ,6 months to less than 2 years,6 months to less than 2 years, ,Daily, , , , , ,Daily,Daily, ,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, ,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, ,Very Satisfied, ,1,0,0,2.314,0, , ,-1
R_8oGWs3k49NkDaBb,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,24.0,3.4285714285714284,1.9880595947760098,1,Finance, ,Staff/Administrator, ,1,1,1, , , ,1, , ,2 years to less than 3 years,2 years to less than 3 years,2 years to less than 3 years, , , ,2 years to less than 3 years, , ,Daily,Daily,Weekly, , , ,Daily, , ,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, ,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, ,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, , , , , , , , , , , , , , , , , , , ,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, , , , , , , ,Very Satisfied, ,1,0,0,1.98,0, , ,-1
R_3Jqp9GrDDcTurV3,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,22.0,3.142857142857143,1.864454471471609,1,Finance, ,Staff/Administrator, ,1,1,1, , , ,1, , ,5 years or more,5 years or more,5 years or more, , , ,5 years or more, , ,Weekly,Daily,Weekly, , , ,Daily, , ,Dissatisfied,Dissatisfied,Neutral,Neutral,Neutral,"The products are one size fits all, and in certain cases, not intuitive or user friendly.",Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, ,Dissatisfied,Dissatisfied,Neutral,Neutral,Neutral,"PeopleSync is cumbersome, requires more input than prior system, how is that an improvement?  There are to many one off situations that the system cannot handle.  The system is not user friendly or intuitive.  The data out of the system is inaccurate, which may be user error, but the system is just very hard to use.  The system does not have built in features to not allow errors to occur, not simply notify people of errors; i.e., chartfield validation.  It is a shame to say, the community would rather go back to a 30 year old legacy system than an up-to-date, technoligically advanced system, simply because the product does not meet the user community needs.", , , , , , , , , , , , , , , , , , ,Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,UDW+ does not have all the data that was available in UDW.  The tool does not have the functions available as they were in UDW.  The system is not user friendly or intuitive.  The data elements are not aligned the same way as they were in UDW.  The Staff that provides excellent service are DSG.  They are willing to help all the time., , , , , , ,Neutral, ,1,0,0,3.159,0, , ,-1
R_9MQeA3nQStg9li9,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,30.0,5.0,3.847076812334269,1,University Development and Alumni Relations (UDAR), ,Staff/Administrator, ,1, , , ,1,1, , , ,3 years to less than 5 years, , , ,6 months to less than 2 years,3 years to less than 5 years, , , ,Weekly, , , ,Monthly,Daily, , , ,Neutral,Neutral,Neutral,Neutral,Neutral, , , , , , , , , , , , , , , , , , , ,Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Neutral,"I do not like Albert/SIS as a system. The data is cryptic, the layout has things buried, and the policies around who ""owns"" information warrant debate.",Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, , , , , , , , , , , , , ,Neutral,"I dislike the inflexibility of ServiceLink. I feel like Modtrak and ProjTrak are behemoth systems that could use retirement. AP Workflow is one of the most frustrating workflows I have EVER had to go through, every single time. Flying colors for Advance are for John Torres only.",1,0,0,3.108,0, , ,-1
R_2to0PwoEPQUD86v,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,23.0,3.2857142857142856,1.889822365046136,1,Finance, ,Staff/Administrator, ,1,1,1, , , ,1, , ,2 years to less than 3 years,2 years to less than 3 years,6 months to less than 2 years, , , ,2 years to less than 3 years, , ,Daily,Daily,Weekly, , , ,Daily, , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, ,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied, ,Neutral,Neutral,Neutral,Neutral,Neutral, , , , , , , , , , , , , , , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , ,Satisfied, ,1,0,0,2.294,0, , ,-1
R_2B39PrCXMiu53fF,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,19.0,4.75,2.217355782608345,1,Public Safety, ,Staff/Administrator, , , , ,1, , , , , , , , ,Less than 6 months, , , , , , , , ,Daily, , , , , , , , , , , , , , , , , , , , , , , ,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , , , , , , , , , , , , , , , , , , , ,Satisfied, ,1,0,0,1.915,0, , ,-1
R_123bDUE13zgTMKm,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,24.0,3.4285714285714284,1.9880595947760098,1,Finance, ,Staff/Administrator, ,1,1,1, , , ,1, , ,2 years to less than 3 years,2 years to less than 3 years,2 years to less than 3 years, , , ,2 years to less than 3 years, , ,Weekly,Monthly,Monthly, , , ,Daily, , ,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied, ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, ,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, , , , , , , , , , , , , , , , , , , ,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, , , , , , , ,Very Satisfied, ,1,0,0,2.349,0, , ,-1
R_3LhFfLFjdNJ3w00,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,30.0,5.0,3.847076812334269,1,University Development and Alumni Relations (UDAR), ,Staff/Administrator, ,1, ,1, , ,1, , , ,6 months to less than 2 years, ,6 months to less than 2 years, , ,6 months to less than 2 years, , , ,Weekly, ,Monthly, , ,Daily, , , ,Very Satisfied,Neutral,Satisfied,Satisfied,Neutral, , , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , , , , , , , ,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, , , , , , , , , , , , , ,Very Satisfied, ,1,0,0,4.884,0, , ,-1
R_30jhjzHBpDivT8k,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,25.0,4.166666666666667,3.125166662222459,1,School,Stern,Staff/Administrator, ,1, ,1, , , ,1, , ,5 years or more, ,5 years or more, , , ,5 years or more, , ,Daily, ,Weekly, , , ,Daily, , ,Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,"Since AP Workflow was transitioned to ServiceLink, it has become less intuitive,  it's difficult to figure out processes i.e., reassign, delegate etc.", , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , , , , , , , , , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , ,Dissatisfied,AP Workflow is less efficient than it was.,1,0,0,2.69,0, , ,-1
R_vuAEiYrLXKFF7Xz,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,36.0,5.142857142857143,3.933978962347216,1,Others,Registrar's Office,Staff/Administrator, ,1, ,1, ,1, ,1, , ,3 years to less than 5 years, ,2 years to less than 3 years, ,5 years or more, ,6 months to less than 2 years, , ,Weekly, ,Monthly, ,Daily, ,Monthly, , ,Neutral,Satisfied,Satisfied,Neutral,Neutral, , , , , , , ,Neutral,Neutral,Satisfied,Neutral,Neutral, , , , , , , ,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied, , , , , , , ,Neutral,Neutral,Satisfied,Satisfied,Neutral, , , , , , , ,Satisfied, ,1,0,0,4.979,0, , ,-1
R_3HZvPUMhZH2GdYl,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,31.0,3.875,2.03100960115899,1,Payroll, ,Staff/Administrator, ,1,1,1, ,1, ,1, , ,3 years to less than 5 years,3 years to less than 5 years,3 years to less than 5 years, ,3 years to less than 5 years, ,3 years to less than 5 years, , ,Daily,Daily,Daily, ,Daily, ,Daily, , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, ,Neutral,Neutral,Neutral,Neutral,Neutral, ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , ,Neutral,Neutral,Neutral,Neutral,Neutral, , , , , , , ,Dissatisfied,Dissatisfied,Satisfied,Neutral,Satisfied,Data is not always reliable, , , , , , ,Satisfied,"enhanced servers, more cloud based systems",1,0,0,5.908,0, , ,-1
R_1H2d9WSJCGLX9U9,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,36.0,5.142857142857143,3.933978962347216,1,Others,Provost,Staff/Administrator, ,1, ,1, ,1, ,1, , ,2 years to less than 3 years, ,3 years to less than 5 years, ,5 years or more, ,6 months to less than 2 years, , ,Daily, ,Weekly, ,Daily, ,Weekly, , ,Satisfied,Dissatisfied,Satisfied,Dissatisfied,Satisfied,"Very dissatisfied with the ServiceLink application. The application is tedious to use and extremely time-consuming. I understand the importance of getting customer service metrics, but feel that this particular tool is not the right fit. Rather than being available to assist other callers, users have to take extra time to fill out fields on the form in ServiceLink, so the caller wait time is increased.", , , , , , ,Satisfied,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,"When requesting staffing changes to myTime, it takes months. There are times when, for no apparent reason, staff just disappear from a manager's employee list with no explanation. The tool itself is fine, but the customer service provided by the myTime staff is extremely deficient.", , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , ,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, , , , , , , ,Satisfied,"For the most part, I think the applications available are fine, with the exception of ServiceLink. Like all areas, I think customer service could be improved, but do not really have any unpleasant experiences with any other area besides the myTime staff.",1,0,0,3.855,0, , ,-1
R_40HmW8piEKg0SdD,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,43.0,5.375,3.7392703642746747,1,Others,Provost,Others,FO,1,1,1, , ,1,1, , ,5 years or more,5 years or more,5 years or more, , ,6 months to less than 2 years,5 years or more, , ,Daily,Daily,Weekly, , ,Once a year,Daily, , ,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, ,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, ,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, , , , , , , , , , , , , ,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, ,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, , , , , , , ,Very Satisfied, ,1,0,0,5.117,0, , ,-1
R_3GqbuC1pZcAHL1N,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,23.0,5.75,4.856267428111155,1,Others,Operations,Staff/Administrator, , , ,1, , , , , , , , ,5 years or more, , , , , , , , ,Weekly, , , , , , , , , , , , , , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Satisfied, ,1,0,0,1.775,0, , ,-1
R_3MKINDKY8X8vow3,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,36.0,5.142857142857143,2.9680841985233184,1,School,College of Arts & Science,Staff/Administrator, ,1, , , ,1, ,1,1,ImageNow,5 years or more, , , ,5 years or more, ,5 years or more,5 years or more, ,Weekly, , , ,Daily, ,Daily,Monthly, ,Satisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Response time is lagging.  At times I need to followup myself for status., , , , , , , , , , , , , , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, ,Neutral,Better trained ITS professionals and immediate followup to solutions are key factors. At times get the run around or tickets get closed without it ever getting resolved.,1,0,0,2.539,0, , ,-1
R_2dgBvf9Bv7hVYRM,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,16.0,3.2,1.4832396974191326,1,Information Technology, ,Staff/Administrator, ,1, ,1, , , , , , ,6 months to less than 2 years, ,6 months to less than 2 years, , , , , , ,Daily, ,Weekly, , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Neutral, , , , , , , ,Neutral,Neutral,Neutral,Satisfied,Satisfied, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Satisfied,Performance improvement,1,0,0,3.752,0, , ,-1
R_1hGzJJeA4nN6uQi,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,42.0,4.666666666666667,3.570714214271425,1,Others,Bursar,Staff/Administrator, ,1,1,1,1,1, ,1, , ,3 years to less than 5 years,3 years to less than 5 years,3 years to less than 5 years,3 years to less than 5 years,5 years or more, ,6 months to less than 2 years, , ,Daily,Weekly,Weekly,Monthly,Daily, ,Daily, , ,Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied, ,Neutral,Neutral,Neutral,Neutral,Neutral, ,Satisfied,Satisfied,Neutral,Satisfied,Very Satisfied, ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, ,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied, , , , , , , ,Neutral,Neutral,Neutral,Neutral,Neutral, , , , , , , ,Satisfied,"This team does a great job keeping all employees and students at NYU connected so that we can carry out our daily jobs. They are reliable, a pleasure to work with and often I walk away knowing more then when I started talking!",1,0,0,3.426,0, , ,-1
R_295iX82PZCHS0wf,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,29.0,5.8,3.3466401061363023,1,Student Services, ,Staff/Administrator, , , , , ,1, ,1, , , , , , ,5 years or more, ,5 years or more, , , , , , ,Daily, ,Daily, , , , , , , , , , , , , , , , , , , , , , , , , , ,Neutral,Neutral,Dissatisfied,Dissatisfied,Dissatisfied,SIS is not user friendly or, , , , , , ,Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,All divisions at the university should be using student agreement codes for each term session and they are not.  Data would flow easier if they did., , , , , , ,Neutral, ,1,0,0,1.176,0, , ,-1
R_3HN5e2Bh9t71x2K,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,26.0,5.2,3.3466401061363023,1,Student Services, ,Staff/Administrator, , , ,1, ,1, , , , , , ,5 years or more, ,5 years or more, , , , , , ,Weekly, ,Daily, , , , , , , , , , , , , , , , ,Neutral,Neutral,Neutral,Neutral,Neutral, , , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , , , , , , , , , , , , , ,Satisfied, ,1,0,0,2.44,0, , ,-1
R_vJlkrb3UH6aV0uR,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,23.0,5.75,3.593976442141304,1,Student Services, ,Staff/Administrator, , , , , ,1, , , , , , , , ,5 years or more, , , , , , , , ,Daily, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, , , , , , , , , , , , , , , , , , , ,Satisfied, ,1,0,0,4.142,0, , ,-1
R_1i2o7cbYLbfDeer,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,29.0,4.142857142857143,2.8535691936340255,1,School,SOE,Staff/Administrator, ,1,1,1, , , ,1, , ,6 months to less than 2 years,6 months to less than 2 years,Less than 6 months, , , ,6 months to less than 2 years, , ,Weekly,Weekly,Monthly, , , ,Daily, , ,Neutral,Satisfied,Satisfied,Satisfied,Satisfied, ,Satisfied,Satisfied,Satisfied,Satisfied,Neutral, ,Neutral,Neutral,Neutral,Neutral,Neutral, , , , , , , , , , , , , , , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , ,Satisfied, ,1,0,0,1.844,0, , ,-1
R_24hBQLksVoLE3vf,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,13.0,3.25,0.5,1,Human Resource, ,Staff/Administrator, , , ,1, , , , , , , , ,5 years or more, , , , , , , , ,Daily, , , , , , , , , , , , , , , , , , ,Dissatisfied,Dissatisfied,Neutral,Neutral,Neutral,PeopleSync creates many more steps to complete a transaction than with PASS., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Neutral, ,1,0,0,1.94,0, , ,-1
